research_no,id,hotel_name,jalan_url,verification_status,verification_note
32,stage-011-2,アパホテル〈人形町駅北〉,https://www.jalan.net/yad323155/,verified,hotel name matches Jalan page; location context consistent
33,stage-011-3,コンフォートホテル東京東日本橋,https://www.jalan.net/yad379871/,verified,hotel name matches Jalan page; location context consistent
34,stage-012-1,相鉄フレッサイン 銀座三丁目,https://www.jalan.net/yad398781/,verified,hotel name matches Jalan page; location context consistent
35,stage-012-2,ホテルモントレ銀座,https://www.jalan.net/yad347902/,verified,hotel name matches Jalan page; location context consistent
36,stage-012-3,ダイワロイネットホテル東京京橋 PREMIER,https://www.jalan.net/yad370598/,verified,hotel name matches Jalan page; location context consistent
37,stage-013-1,レム日比谷,https://www.jalan.net/yad334400/,verified,hotel name matches Jalan page; location context consistent
38,stage-013-2,銀座ベルビューホテル,https://www.jalan.net/yad303626/,verified,hotel name matches Jalan page; location context consistent
39,stage-013-3,ダイワロイネットホテル新橋,https://www.jalan.net/yad344290/,verified,hotel name matches Jalan page; location context consistent
40,stage-014-1,品川プリンスホテル イーストタワー,https://www.jalan.net/yad353540/,verified,hotel name matches Jalan page; location context consistent
41,stage-014-2,京急EXホテル高輪,https://www.jalan.net/yad349259/,verified,hotel name matches Jalan page; location context consistent
42,stage-014-3,アパホテル〈品川 泉岳寺駅前〉,https://www.jalan.net/yad354769/,verified,hotel name matches Jalan page; location context consistent
43,stage-015-1,品川プリンスホテル イーストタワー,https://www.jalan.net/yad353540/,verified,hotel name matches Jalan page; location context consistent
44,stage-015-2,京急EXホテル高輪,https://www.jalan.net/yad349259/,verified,hotel name matches Jalan page; location context consistent
45,stage-015-3,アパホテル〈品川 泉岳寺駅前〉,https://www.jalan.net/yad354769/,verified,hotel name matches Jalan page; location context consistent
46,stage-016-1,レム六本木,https://www.jalan.net/yad382341/,verified,hotel name matches Jalan page; location context consistent
47,stage-016-2,相鉄フレッサイン 東京六本木,https://www.jalan.net/yad364444/,verified,hotel name matches Jalan page; location context consistent
48,stage-016-3,コンフォートイン東京六本木,https://www.jalan.net/yad330535/,verified,hotel name matches Jalan page; location context consistent
49,stage-017-1,レム日比谷,https://www.jalan.net/yad334400/,verified,hotel name matches Jalan page; location context consistent
50,stage-017-2,銀座ベルビューホテル,https://www.jalan.net/yad303626/,verified,hotel name matches Jalan page; location context consistent
51,stage-017-3,ダイワロイネットホテル新橋,https://www.jalan.net/yad344290/,verified,hotel name matches Jalan page; location context consistent
52,stage-018-1,ホテルヴィラフォンテーヌ東京大手町,https://www.jalan.net/yad365524/,manual_verified,表記差のみ。都道府県・最寄り駅が一致するじゃらん施設ページ
53,stage-018-2,相鉄フレッサイン 神田大手町,https://www.jalan.net/yad359984/,verified,hotel name matches Jalan page; location context consistent
54,stage-018-3,グランドセントラルホテル,https://www.jalan.net/yad323236/,verified,hotel name matches Jalan page; location context consistent
55,stage-019-1,レム日比谷,https://www.jalan.net/yad334400/,verified,hotel name matches Jalan page; location context consistent
56,stage-019-2,銀座ベルビューホテル,https://www.jalan.net/yad303626/,verified,hotel name matches Jalan page; location context consistent
57,stage-019-3,ダイワロイネットホテル新橋,https://www.jalan.net/yad344290/,verified,hotel name matches Jalan page; location context consistent
58,stage-020-1,レム日比谷,https://www.jalan.net/yad334400/,verified,hotel name matches Jalan page; location context consistent
59,stage-020-2,銀座ベルビューホテル,https://www.jalan.net/yad303626/,verified,hotel name matches Jalan page; location context consistent
60,stage-020-3,ダイワロイネットホテル新橋,https://www.jalan.net/yad344290/,verified,hotel name matches Jalan page; location context consistent
61,stage-021-1,レム日比谷,https://www.jalan.net/yad334400/,verified,hotel name matches Jalan page; location context consistent
62,stage-021-2,銀座ベルビューホテル,https://www.jalan.net/yad303626/,verified,hotel name matches Jalan page; location context consistent
63,stage-021-3,ダイワロイネットホテル新橋,https://www.jalan.net/yad344290/,verified,hotel name matches Jalan page; location context consistent
64,stage-022-1,相鉄フレッサイン 銀座三丁目,https://www.jalan.net/yad398781/,verified,hotel name matches Jalan page; location context consistent
65,stage-022-2,ホテルモントレ銀座,https://www.jalan.net/yad347902/,verified,hotel name matches Jalan page; location context consistent
66,stage-022-3,ダイワロイネットホテル東京京橋 PREMIER,https://www.jalan.net/yad370598/,verified,hotel name matches Jalan page; location context consistent
67,stage-023-1,the b 三軒茶屋,https://www.jalan.net/yad323781/,verified,hotel name matches Jalan page; location context consistent
68,stage-023-2,東急ステイ用賀,https://www.jalan.net/yad376499/,verified,hotel name matches Jalan page; location context consistent
69,stage-023-3,東急ステイ渋谷,https://www.jalan.net/yad329696/,manual_verified,渋谷の別館との混同を避け道玄坂上の施設を採用。都道府県・駅一致
70,stage-024-1,The OneFive Tokyo Shibuya,https://www.jalan.net/yad375986/,manual_verified,英語表記The OneFive Tokyo Shibuyaと日本語表記の差のみ。地域・駅一致
71,stage-024-2,渋谷東武ホテル,https://www.jalan.net/yad316476/,verified,hotel name matches Jalan page; location context consistent
72,stage-024-3,渋谷クレストンホテル,https://www.jalan.net/yad312949/,verified,hotel name matches Jalan page; location context consistent
73,stage-025-1,The OneFive Tokyo Shibuya,https://www.jalan.net/yad375986/,manual_verified,英語表記The OneFive Tokyo Shibuyaと日本語表記の差のみ。地域・駅一致
74,stage-025-2,渋谷東武ホテル,https://www.jalan.net/yad316476/,verified,hotel name matches Jalan page; location context consistent
75,stage-025-3,渋谷クレストンホテル,https://www.jalan.net/yad312949/,verified,hotel name matches Jalan page; location context consistent
76,stage-026-1,ART HOTELS SHIBUYA,,no_current_jalan_link,現在のじゃらん施設ページを検索・照合したが確定できず。誤リンクを避けるため空欄
77,stage-026-2,THE KNOT TOKYO Shinjuku,https://www.jalan.net/yad327330/,verified,hotel name matches Jalan page; location context consistent
78,stage-026-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,https://www.jalan.net/yad301471/,verified,hotel name matches Jalan page; location context consistent
79,stage-027-1,ART HOTELS SHIBUYA,,no_current_jalan_link,現在のじゃらん施設ページを検索・照合したが確定できず。誤リンクを避けるため空欄
80,stage-027-2,THE KNOT TOKYO Shinjuku,https://www.jalan.net/yad327330/,verified,hotel name matches Jalan page; location context consistent
81,stage-027-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,https://www.jalan.net/yad301471/,verified,hotel name matches Jalan page; location context consistent
82,stage-028-1,ホテルサンシティ池袋,https://www.jalan.net/yad363660/,verified,hotel name matches Jalan page; location context consistent
83,stage-028-2,ホテルアーバン,https://www.jalan.net/yad329080/,verified,hotel name matches Jalan page; location context consistent
84,stage-028-3,スーパーホテルPremier池袋天然温泉,https://www.jalan.net/yad316663/,verified,hotel name matches Jalan page; location context consistent
85,stage-029-1,ホテルサンシティ池袋,https://www.jalan.net/yad363660/,verified,hotel name matches Jalan page; location context consistent
86,stage-029-2,ホテルアーバン,https://www.jalan.net/yad329080/,verified,hotel name matches Jalan page; location context consistent
87,stage-029-3,スーパーホテルPremier池袋天然温泉,https://www.jalan.net/yad316663/,verified,hotel name matches Jalan page; location context consistent
88,stage-030-1,ホテルサンシティ池袋,https://www.jalan.net/yad363660/,verified,hotel name matches Jalan page; location context consistent
89,stage-030-2,ホテルアーバン,https://www.jalan.net/yad329080/,verified,hotel name matches Jalan page; location context consistent
90,stage-030-3,スーパーホテルPremier池袋天然温泉,https://www.jalan.net/yad316663/,verified,hotel name matches Jalan page; location context consistent
91,stage-031-1,the b 三軒茶屋,https://www.jalan.net/yad323781/,verified,hotel name matches Jalan page; location context consistent
92,stage-031-2,東急ステイ用賀,https://www.jalan.net/yad376499/,verified,hotel name matches Jalan page; location context consistent
93,stage-031-3,東急ステイ渋谷,https://www.jalan.net/yad329696/,manual_verified,渋谷の別館との混同を避け道玄坂上の施設を採用。都道府県・駅一致
94,stage-032-1,the b 三軒茶屋,https://www.jalan.net/yad323781/,verified,hotel name matches Jalan page; location context consistent
95,stage-032-2,東急ステイ用賀,https://www.jalan.net/yad376499/,verified,hotel name matches Jalan page; location context consistent
96,stage-032-3,東急ステイ渋谷,https://www.jalan.net/yad329696/,manual_verified,渋谷の別館との混同を避け道玄坂上の施設を採用。都道府県・駅一致
97,stage-033-1,ホテルサンライト新宿,https://www.jalan.net/yad343909/,verified,hotel name matches Jalan page; location context consistent
98,stage-033-2,新宿アーバンホテル,https://www.jalan.net/yad321016/,verified,hotel name matches Jalan page; location context consistent
99,stage-033-3,ホテルアマネク新宿歌舞伎町,https://www.jalan.net/yad357994/,verified,hotel name matches Jalan page; location context consistent
100,stage-034-1,ホテルサンルートプラザ新宿,https://www.jalan.net/yad351204/,verified,hotel name matches Jalan page; location context consistent
101,stage-034-2,JR九州ホテル ブラッサム新宿,https://www.jalan.net/yad391743/,verified,hotel name matches Jalan page; location context consistent
102,stage-034-3,京王プレッソイン新宿,https://www.jalan.net/yad399872/,verified,hotel name matches Jalan page; location context consistent
103,stage-035-1,ホテルサンルートプラザ新宿,https://www.jalan.net/yad351204/,verified,hotel name matches Jalan page; location context consistent
104,stage-035-2,JR九州ホテル ブラッサム新宿,https://www.jalan.net/yad391743/,verified,hotel name matches Jalan page; location context consistent
105,stage-035-3,京王プレッソイン新宿,https://www.jalan.net/yad399872/,verified,hotel name matches Jalan page; location context consistent
106,stage-036-1,ホテルサンライト新宿,https://www.jalan.net/yad343909/,verified,hotel name matches Jalan page; location context consistent
107,stage-036-2,新宿アーバンホテル,https://www.jalan.net/yad321016/,verified,hotel name matches Jalan page; location context consistent
108,stage-036-3,ホテルアマネク新宿歌舞伎町,https://www.jalan.net/yad357994/,verified,hotel name matches Jalan page; location context consistent
109,stage-037-1,ホテルサンライト新宿,https://www.jalan.net/yad343909/,verified,hotel name matches Jalan page; location context consistent
110,stage-037-2,新宿アーバンホテル,https://www.jalan.net/yad321016/,verified,hotel name matches Jalan page; location context consistent
111,stage-037-3,ホテルアマネク新宿歌舞伎町,https://www.jalan.net/yad357994/,verified,hotel name matches Jalan page; location context consistent
112,stage-038-1,ホテルサンライト新宿,https://www.jalan.net/yad343909/,verified,hotel name matches Jalan page; location context consistent
113,stage-038-2,新宿アーバンホテル,https://www.jalan.net/yad321016/,verified,hotel name matches Jalan page; location context consistent
114,stage-038-3,ホテルアマネク新宿歌舞伎町,https://www.jalan.net/yad357994/,verified,hotel name matches Jalan page; location context consistent
115,stage-039-1,ホテルアジア会館,https://www.jalan.net/yad344328/,verified,hotel name matches Jalan page; location context consistent
116,stage-039-2,the b 赤坂,https://www.jalan.net/yad383484/,manual_verified,施設名本体が一致し都道府県・最寄り駅も一致
117,stage-039-3,ホテルモントレ赤坂,https://www.jalan.net/yad380660/,verified,hotel name matches Jalan page; location context consistent
118,stage-040-1,ホテルアジア会館,https://www.jalan.net/yad344328/,verified,hotel name matches Jalan page; location context consistent
119,stage-040-2,the b 赤坂,https://www.jalan.net/yad383484/,manual_verified,施設名本体が一致し都道府県・最寄り駅も一致
120,stage-040-3,ホテルモントレ赤坂,https://www.jalan.net/yad380660/,verified,hotel name matches Jalan page; location context consistent
121,stage-041-1,相鉄フレッサイン 銀座三丁目,https://www.jalan.net/yad398781/,verified,hotel name matches Jalan page; location context consistent
122,stage-041-2,ホテルモントレ銀座,https://www.jalan.net/yad347902/,verified,hotel name matches Jalan page; location context consistent
123,stage-041-3,ダイワロイネットホテル東京京橋 PREMIER,https://www.jalan.net/yad370598/,verified,hotel name matches Jalan page; location context consistent
124,stage-042-1,The OneFive Tokyo Shibuya,https://www.jalan.net/yad375986/,manual_verified,英語表記The OneFive Tokyo Shibuyaと日本語表記の差のみ。地域・駅一致
125,stage-042-2,渋谷東武ホテル,https://www.jalan.net/yad316476/,verified,hotel name matches Jalan page; location context consistent
126,stage-042-3,渋谷クレストンホテル,https://www.jalan.net/yad312949/,verified,hotel name matches Jalan page; location context consistent
127,stage-043-1,The OneFive Tokyo Shibuya,https://www.jalan.net/yad375986/,manual_verified,英語表記The OneFive Tokyo Shibuyaと日本語表記の差のみ。地域・駅一致
128,stage-043-2,渋谷東武ホテル,https://www.jalan.net/yad316476/,verified,hotel name matches Jalan page; location context consistent
129,stage-043-3,渋谷クレストンホテル,https://www.jalan.net/yad312949/,verified,hotel name matches Jalan page; location context consistent
130,stage-044-1,The OneFive Tokyo Shibuya,https://www.jalan.net/yad375986/,manual_verified,英語表記The OneFive Tokyo Shibuyaと日本語表記の差のみ。地域・駅一致
131,stage-044-2,渋谷東武ホテル,https://www.jalan.net/yad316476/,verified,hotel name matches Jalan page; location context consistent
132,stage-044-3,渋谷クレストンホテル,https://www.jalan.net/yad312949/,verified,hotel name matches Jalan page; location context consistent
133,stage-045-1,アーバイン東京・上野 北千住,https://www.jalan.net/yad381076/,verified,hotel name matches Jalan page; location context consistent
134,stage-045-2,ホテル ココ・グラン北千住,https://www.jalan.net/yad323264/,verified,hotel name matches Jalan page; location context consistent
135,stage-045-3,ホテルリブマックス東京綾瀬駅前,https://www.jalan.net/yad359437/,verified,hotel name matches Jalan page; location context consistent
136,stage-046-1,スマイルホテル東京綾瀬駅前,https://www.jalan.net/yad386875/,verified,hotel name matches Jalan page; location context consistent
137,stage-046-2,ホテルリブマックス東京綾瀬駅前,https://www.jalan.net/yad359437/,verified,hotel name matches Jalan page; location context consistent
138,stage-046-3,アーバイン東京・上野 北千住,https://www.jalan.net/yad381076/,verified,hotel name matches Jalan page; location context consistent
139,stage-047-1,くれたけイン東京船堀,https://www.jalan.net/yad367968/,verified,hotel name matches Jalan page; location context consistent
140,stage-047-2,レンブラントスタイル東京西葛西,https://www.jalan.net/yad398420/,verified,hotel name matches Jalan page; location context consistent
141,stage-047-3,アパホテル〈TKP東京西葛西〉,https://www.jalan.net/yad317197/,verified,hotel name matches Jalan page; location context consistent
142,stage-048-1,スマイルホテル東京新小岩,https://www.jalan.net/yad318472/,verified,hotel name matches Jalan page; location context consistent
143,stage-048-2,スーパーホテル東京・JR新小岩,https://www.jalan.net/yad330980/,verified,hotel name matches Jalan page; location context consistent
144,stage-048-3,サイプレスイン東京,https://www.jalan.net/yad360845/,verified,hotel name matches Jalan page; location context consistent
145,stage-049-1,スマイルホテル東京新小岩,https://www.jalan.net/yad318472/,verified,hotel name matches Jalan page; location context consistent
146,stage-049-2,スーパーホテル東京・JR新小岩,https://www.jalan.net/yad330980/,verified,hotel name matches Jalan page; location context consistent
147,stage-049-3,サイプレスイン東京,https://www.jalan.net/yad360845/,verified,hotel name matches Jalan page; location context consistent
148,stage-050-1,フレックステイイン江古田,https://www.jalan.net/yad378405/,verified,hotel name matches Jalan page; location context consistent
149,stage-050-2,ホテルカデンツァ東京,https://www.jalan.net/yad318646/,verified,hotel name matches Jalan page; location context consistent
150,stage-050-3,和光市東武ホテル,https://www.jalan.net/yad370584/,verified,hotel name matches Jalan page; location context consistent
151,stage-051-1,フレックステイイン江古田,https://www.jalan.net/yad378405/,verified,hotel name matches Jalan page; location context consistent
152,stage-051-2,ホテルカデンツァ東京,https://www.jalan.net/yad318646/,verified,hotel name matches Jalan page; location context consistent
153,stage-051-3,和光市東武ホテル,https://www.jalan.net/yad370584/,verified,hotel name matches Jalan page; location context consistent
154,stage-052-1,吉祥寺東急REIホテル,https://www.jalan.net/yad311450/,verified,hotel name matches Jalan page; location context consistent
155,stage-052-2,吉祥寺エクセルホテル東急,https://www.jalan.net/yad364620/,verified,hotel name matches Jalan page; location context consistent
156,stage-052-3,リッチモンドホテル東京武蔵野,https://www.jalan.net/yad328441/,verified,hotel name matches Jalan page; location context consistent
157,stage-053-1,リッチモンドホテル東京武蔵野,https://www.jalan.net/yad328441/,verified,hotel name matches Jalan page; location context consistent
158,stage-053-2,三鷹シティホテル,https://www.jalan.net/yad398198/,verified,hotel name matches Jalan page; location context consistent
159,stage-053-3,JR東日本ホテルメッツ 武蔵境,https://www.jalan.net/yad306355/,verified,hotel name matches Jalan page; location context consistent
160,stage-054-1,リッチモンドホテル東京武蔵野,https://www.jalan.net/yad328441/,verified,hotel name matches Jalan page; location context consistent
161,stage-054-2,三鷹シティホテル,https://www.jalan.net/yad398198/,verified,hotel name matches Jalan page; location context consistent
162,stage-054-3,JR東日本ホテルメッツ 武蔵境,https://www.jalan.net/yad306355/,verified,hotel name matches Jalan page; location context consistent
163,stage-055-1,JR東日本ホテルメッツ 高円寺,https://www.jalan.net/yad360888/,verified,hotel name matches Jalan page; location context consistent
164,stage-055-2,ビジネスホテル クレセント,https://www.jalan.net/yad326133/,verified,hotel name matches Jalan page; location context consistent
165,stage-055-3,ホテルルートイン東京阿佐ヶ谷,https://www.jalan.net/yad340828/,verified,hotel name matches Jalan page; location context consistent
166,stage-056-1,JR東日本ホテルメッツ 高円寺,https://www.jalan.net/yad360888/,verified,hotel name matches Jalan page; location context consistent
167,stage-056-2,ビジネスホテル クレセント,https://www.jalan.net/yad326133/,verified,hotel name matches Jalan page; location context consistent
168,stage-056-3,ホテルルートイン東京阿佐ヶ谷,https://www.jalan.net/yad340828/,verified,hotel name matches Jalan page; location context consistent
169,stage-057-1,ビジネスホテル クレセント,https://www.jalan.net/yad326133/,verified,hotel name matches Jalan page; location context consistent
170,stage-057-2,JR東日本ホテルメッツ 高円寺,https://www.jalan.net/yad360888/,verified,hotel name matches Jalan page; location context consistent
171,stage-057-3,ホテルルートイン東京阿佐ヶ谷,https://www.jalan.net/yad340828/,verified,hotel name matches Jalan page; location context consistent
172,stage-058-1,ビジネスホテル クレセント,https://www.jalan.net/yad326133/,verified,hotel name matches Jalan page; location context consistent
173,stage-058-2,JR東日本ホテルメッツ 高円寺,https://www.jalan.net/yad360888/,verified,hotel name matches Jalan page; location context consistent
174,stage-058-3,ホテルルートイン東京阿佐ヶ谷,https://www.jalan.net/yad340828/,verified,hotel name matches Jalan page; location context consistent
175,stage-059-1,ビジネスホテル クレセント,https://www.jalan.net/yad326133/,verified,hotel name matches Jalan page; location context consistent
176,stage-059-2,JR東日本ホテルメッツ 高円寺,https://www.jalan.net/yad360888/,verified,hotel name matches Jalan page; location context consistent
177,stage-059-3,ホテルルートイン東京阿佐ヶ谷,https://www.jalan.net/yad340828/,verified,hotel name matches Jalan page; location context consistent
178,stage-060-1,ビジネスホテル クレセント,https://www.jalan.net/yad326133/,verified,hotel name matches Jalan page; location context consistent
179,stage-060-2,JR東日本ホテルメッツ 高円寺,https://www.jalan.net/yad360888/,verified,hotel name matches Jalan page; location context consistent
180,stage-060-3,ホテルルートイン東京阿佐ヶ谷,https://www.jalan.net/yad340828/,verified,hotel name matches Jalan page; location context consistent
181,stage-061-1,ビジネスホテル クレセント,https://www.jalan.net/yad326133/,verified,hotel name matches Jalan page; location context consistent
182,stage-061-2,JR東日本ホテルメッツ 高円寺,https://www.jalan.net/yad360888/,verified,hotel name matches Jalan page; location context consistent
183,stage-061-3,ホテルルートイン東京阿佐ヶ谷,https://www.jalan.net/yad340828/,verified,hotel name matches Jalan page; location context consistent
184,stage-062-1,ホテルグランドシティ,https://www.jalan.net/yad317472/,verified,hotel name matches Jalan page; location context consistent
185,stage-062-2,ホテルリソル池袋,https://www.jalan.net/yad386545/,verified,hotel name matches Jalan page; location context consistent
186,stage-062-3,京王プレッソイン池袋,https://www.jalan.net/yad333355/,verified,hotel name matches Jalan page; location context consistent
187,stage-063-1,TOKIO's HOTEL,,no_current_jalan_link,TOKIO's HOTELの現行営業は確認できるが現在のじゃらん施設ページは確定できず。誤リンクを避けるため空欄
188,stage-063-2,東横INN京浜東北線王子駅北口,https://www.jalan.net/yad378762/,verified,hotel name matches Jalan page; location context consistent
189,stage-063-3,JR東日本ホテルメッツ 赤羽,https://www.jalan.net/yad312583/,verified,hotel name matches Jalan page; location context consistent
190,stage-064-1,ホテルカデンツァ東京,https://www.jalan.net/yad318646/,verified,hotel name matches Jalan page; location context consistent
191,stage-064-2,和光市東武ホテル,https://www.jalan.net/yad370584/,verified,hotel name matches Jalan page; location context consistent
192,stage-064-3,東横INN和光市駅前,https://www.jalan.net/yad329704/,verified,hotel name matches Jalan page; location context consistent
193,stage-065-1,東急ステイ目黒・祐天寺,https://www.jalan.net/yad322009/,verified,hotel name matches Jalan page; location context consistent
194,stage-065-2,ホテルミッドイン目黒駅前,https://www.jalan.net/yad351481/,rebranded_current_page,旧ホテルミッドイン目黒駅前の検索結果から同一地域・目黒駅の現行じゃらん施設ページとして採用
195,stage-065-3,ホテルアベスト目黒,https://www.jalan.net/yad375748/,verified,hotel name matches Jalan page; location context consistent
196,stage-066-1,ホテルマイステイズ蒲田,https://www.jalan.net/yad328010/,verified,hotel name matches Jalan page; location context consistent
197,stage-066-2,ビジネスイン和,https://www.jalan.net/yad380776/,verified,hotel name matches Jalan page; location context consistent
198,stage-066-3,グランパークホテル パネックス東京,https://www.jalan.net/yad332385/,verified,hotel name matches Jalan page; location context consistent
199,stage-067-1,ホテル トレンド 浅草,https://www.jalan.net/yad337634/,verified,hotel name matches Jalan page; location context consistent
200,stage-067-2,アパホテル〈浅草 田原町駅前〉,https://www.jalan.net/yad347008/,verified,hotel name matches Jalan page; location context consistent
201,stage-067-3,ホテルウィングインターナショナルセレクト浅草駒形,https://www.jalan.net/yad357688/,rebranded_current_page,旧ホテルウィングインターナショナルセレクト浅草駒形と同一地域・駅の現行じゃらん施設ページとして採用
202,stage-068-1,ホテル トレンド 浅草,https://www.jalan.net/yad337634/,verified,hotel name matches Jalan page; location context consistent
203,stage-068-2,アパホテル〈浅草 田原町駅前〉,https://www.jalan.net/yad347008/,verified,hotel name matches Jalan page; location context consistent
204,stage-068-3,ホテルウィングインターナショナルセレクト浅草駒形,https://www.jalan.net/yad357688/,rebranded_current_page,旧ホテルウィングインターナショナルセレクト浅草駒形と同一地域・駅の現行じゃらん施設ページとして採用
205,stage-069-1,スーパーホテル品川・新馬場,https://www.jalan.net/yad304182/,verified,hotel name matches Jalan page; location context consistent
206,stage-069-2,東横INN品川港南口天王洲アイル,https://www.jalan.net/yad390736/,verified,hotel name matches Jalan page; location context consistent
207,stage-069-3,アパホテル〈品川 泉岳寺駅前〉,https://www.jalan.net/yad354769/,verified,hotel name matches Jalan page; location context consistent
208,stage-070-1,ホテルグランドシティ,https://www.jalan.net/yad317472/,verified,hotel name matches Jalan page; location context consistent
209,stage-070-2,ホテルリソル池袋,https://www.jalan.net/yad386545/,verified,hotel name matches Jalan page; location context consistent
210,stage-070-3,京王プレッソイン池袋,https://www.jalan.net/yad333355/,verified,hotel name matches Jalan page; location context consistent
211,stage-071-1,アパホテル〈上野駅前〉,https://www.jalan.net/yad309641/,verified,hotel name matches Jalan page; location context consistent
212,stage-071-2,上野ホテル,https://www.jalan.net/yad349496/,verified,hotel name matches Jalan page; location context consistent
213,stage-071-3,ベッセルイン上野入谷駅前,https://www.jalan.net/yad316610/,verified,hotel name matches Jalan page; location context consistent
214,stage-072-1,ホテルエミシア東京立川,https://www.jalan.net/yad322793/,verified,hotel name matches Jalan page; location context consistent
215,stage-072-2,立川リージェントホテル,https://www.jalan.net/yad378921/,verified,hotel name matches Jalan page; location context consistent
216,stage-072-3,ホテルマイステイズ立川,https://www.jalan.net/yad314924/,verified,hotel name matches Jalan page; location context consistent
217,stage-073-1,京急EXイン 羽田イノベーションシティ,https://www.jalan.net/yad317988/,verified,hotel name matches Jalan page; location context consistent
218,stage-073-2,ホテルメトロポリタン 羽田,https://www.jalan.net/yad308818/,verified,hotel name matches Jalan page; location context consistent
219,stage-073-3,京急EXイン 羽田,https://www.jalan.net/yad354515/,manual_verified,施設名本体・天空橋駅が一致。同名系列施設との混同を除外
220,stage-074-1,東横INN鶯谷駅前,https://www.jalan.net/yad356514/,verified,hotel name matches Jalan page; location context consistent
221,stage-074-2,ホテルセレッソ,https://www.jalan.net/yad304178/,verified,hotel name matches Jalan page; location context consistent
