research_no,id,hotel_name,prefecture,area,station,venueId,venue_name,verification_status,candidate_url,jalan_hotel_name,name_similarity,prefecture_match,station_match,verification_note,search_url
392,stage-131-2,ホテルウィングインターナショナル旭川駅前,北海道,旭川,旭川,stage-131,旭川市民文化会館 大ホール,needs_review,https://www.jalan.net/yad326154/,KOKO HOTEL 旭川駅前（旧 ホテルウィング旭川駅前）,0.4889,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E6%97%AD%E5%B7%9D%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
397,stage-133-1,JRイン帯広,北海道,帯広,帯広,stage-133,帯広市民文化ホール 大ホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22JR%E3%82%A4%E3%83%B3%E5%B8%AF%E5%BA%83%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
399,stage-133-3,ホテルグランテラス帯広,北海道,帯広,帯広,stage-133,帯広市民文化ホール 大ホール,needs_review,https://www.jalan.net/yad310153/,薬湯風呂 ホテルグランテラス帯広（BBHホテルグループ）,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%86%E3%83%A9%E3%82%B9%E5%B8%AF%E5%BA%83%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
429,stage-143-3,ホテルメトロポリタン盛岡 NEW WING,岩手県,盛岡,盛岡,stage-143,盛岡市民文化ホール 大ホール,needs_review,https://www.jalan.net/yad309556/,ホテルメトロポリタン盛岡 ニューウイング,0.6316,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%A1%E3%83%88%E3%83%AD%E3%83%9D%E3%83%AA%E3%82%BF%E3%83%B3%E7%9B%9B%E5%B2%A1%20NEW%20WING%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
432,stage-144-3,ホテルメトロポリタン盛岡 NEW WING,岩手県,盛岡,盛岡,stage-144,トーサイクラシックホール岩手 大ホール,needs_review,https://www.jalan.net/yad309556/,ホテルメトロポリタン盛岡 ニューウイング,0.6316,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%A1%E3%83%88%E3%83%AD%E3%83%9D%E3%83%AA%E3%82%BF%E3%83%B3%E7%9B%9B%E5%B2%A1%20NEW%20WING%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
486,stage-162-3,プレミアホテル-CABIN-松本,長野県,松本,松本,stage-162,キッセイ文化ホール 大ホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%9B%E3%83%86%E3%83%AB-CABIN-%E6%9D%BE%E6%9C%AC%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
489,stage-163-3,プレミアホテル-CABIN-松本,長野県,松本,松本,stage-163,まつもと市民芸術館 主ホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%9B%E3%83%86%E3%83%AB-CABIN-%E6%9D%BE%E6%9C%AC%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
554,stage-185-2,ホテルミワ,静岡県,沼津,沼津,stage-185,沼津市民文化センター 大ホール,needs_review,https://www.jalan.net/yad312372/,ＫＯＫＯ ＨＯＴＥＬ 沼津駅前,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9F%E3%83%AF%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
556,stage-186-1,ホテル西村,静岡県,富士,富士,stage-186,富士市文化会館ロゼシアター 大ホール,needs_review,https://www.jalan.net/yad328246/,函館パークホテル,0.4615,False,False,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E8%A5%BF%E6%9D%91%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
568,stage-190-1,ホテル京阪 天満橋駅前,大阪府,森ノ宮・大阪城公園,天満橋,stage-190,COOL JAPAN PARK OSAKA WWホール,needs_review,https://www.jalan.net/yad350686/,ホテル京阪 天満橋駅前,1.0,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%98%AA%20%E5%A4%A9%E6%BA%80%E6%A9%8B%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
571,stage-191-1,ホテル京阪 天満橋駅前,大阪府,森ノ宮・大阪城公園,天満橋,stage-191,COOL JAPAN PARK OSAKA TTホール,needs_review,https://www.jalan.net/yad350686/,ホテル京阪 天満橋駅前,1.0,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%98%AA%20%E5%A4%A9%E6%BA%80%E6%A9%8B%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
574,stage-192-1,ホテル京阪 天満橋駅前,大阪府,森ノ宮・大阪城公園,天満橋,stage-192,COOL JAPAN PARK OSAKA SSホール,needs_review,https://www.jalan.net/yad350686/,ホテル京阪 天満橋駅前,1.0,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%98%AA%20%E5%A4%A9%E6%BA%80%E6%A9%8B%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
592,stage-198-1,ホテル京阪 天満橋駅前,大阪府,森ノ宮,天満橋,stage-198,森ノ宮ピロティホール,needs_review,https://www.jalan.net/yad350686/,ホテル京阪 天満橋駅前,1.0,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%98%AA%20%E5%A4%A9%E6%BA%80%E6%A9%8B%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
595,stage-199-1,ホテル京阪 天満橋駅前,大阪府,谷町四丁目,天満橋,stage-199,NHK大阪ホール,needs_review,https://www.jalan.net/yad350686/,ホテル京阪 天満橋駅前,1.0,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%98%AA%20%E5%A4%A9%E6%BA%80%E6%A9%8B%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
598,stage-200-1,ホテル京阪 天満橋駅前,大阪府,大阪ビジネスパーク,天満橋,stage-200,松下IMPホール,needs_review,https://www.jalan.net/yad350686/,ホテル京阪 天満橋駅前,1.0,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%98%AA%20%E5%A4%A9%E6%BA%80%E6%A9%8B%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
613,stage-205-1,大江戸温泉物語 箕面観光ホテル,大阪府,箕面船場阪大前,箕面,stage-205,東京建物 Brillia HALL 箕面 大ホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22%E5%A4%A7%E6%B1%9F%E6%88%B8%E6%B8%A9%E6%B3%89%E7%89%A9%E8%AA%9E%20%E7%AE%95%E9%9D%A2%E8%A6%B3%E5%85%89%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
617,stage-206-2,ホテルウィングインターナショナルセレクト東大阪,大阪府,八戸ノ里,長田,stage-206,東大阪市文化創造館 Dream House 大ホール,needs_review,https://www.jalan.net/yad338064/,KOKO HOTEL 東大阪,0.1714,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%82%BB%E3%83%AC%E3%82%AF%E3%83%88%E6%9D%B1%E5%A4%A7%E9%98%AA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
623,stage-208-2,ザ シンギュラリ ホテル&スカイスパ アット ユニバーサル・スタジオ・ジャパン,大阪府,桜島・ユニバーサルシティ,ユニバーサルシティ,stage-208,Zepp Osaka Bayside,needs_review,https://www.jalan.net/yad332153/,THE SINGULARI HOTEL ＆ SKYSPA at Universal Studios Japan,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%82%B6%20%E3%82%B7%E3%83%B3%E3%82%AE%E3%83%A5%E3%83%A9%E3%83%AA%20%E3%83%9B%E3%83%86%E3%83%AB%26%E3%82%B9%E3%82%AB%E3%82%A4%E3%82%B9%E3%83%91%20%E3%82%A2%E3%83%83%E3%83%88%20%E3%83%A6%E3%83%8B%E3%83%90%E3%83%BC%E3%82%B5%E3%83%AB%E3%83%BB%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
646,stage-216-1,ホテルウィングインターナショナルプレミアム京都三条,京都府,岡崎・東山,三条・東山,stage-216,ロームシアター京都 メインホール,needs_review,https://www.jalan.net/yad330793/,KOKO HOTEL 京都三条,0.2105,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E4%BA%AC%E9%83%BD%E4%B8%89%E6%9D%A1%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
647,stage-216-2,ホテルマテリアル,京都府,岡崎・東山,東山,stage-216,ロームシアター京都 メインホール,needs_review,https://www.jalan.net/yad354346/,ＨＯＴＥＬ ＭＡＴＥＲＩＡＬ,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9E%E3%83%86%E3%83%AA%E3%82%A2%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
649,stage-217-1,ホテルウィングインターナショナルプレミアム京都三条,京都府,岡崎・東山,三条・東山,stage-217,ロームシアター京都 サウスホール,needs_review,https://www.jalan.net/yad330793/,KOKO HOTEL 京都三条,0.2105,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E4%BA%AC%E9%83%BD%E4%B8%89%E6%9D%A1%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
650,stage-217-2,ホテルマテリアル,京都府,岡崎・東山,東山,stage-217,ロームシアター京都 サウスホール,needs_review,https://www.jalan.net/yad354346/,ＨＯＴＥＬ ＭＡＴＥＲＩＡＬ,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9E%E3%83%86%E3%83%AA%E3%82%A2%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
661,stage-221-1,びわ湖ホテル,滋賀県,大津・びわ湖浜大津,びわ湖浜大津,stage-221,滋賀県立芸術劇場 びわ湖ホール 大ホール,needs_review,https://www.jalan.net/yad379554/,琵琶湖ホテル,0.6667,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%81%B3%E3%82%8F%E6%B9%96%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
662,stage-221-2,HOTEL 講 大津百町,滋賀県,大津・びわ湖浜大津,大津,stage-221,滋賀県立芸術劇場 びわ湖ホール 大ホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22HOTEL%20%E8%AC%9B%20%E5%A4%A7%E6%B4%A5%E7%99%BE%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
693,stage-231-3,ホテルルートイン松江,島根県,松江,松江,stage-231,島根県民会館 大ホール,needs_review,https://www.jalan.net/yad386217/,天然温泉「旅人の湯」 ホテルルートイン松江,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%AB%E3%83%BC%E3%83%88%E3%82%A4%E3%83%B3%E6%9D%BE%E6%B1%9F%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
706,stage-236-1,ザ クラウンパレス新阪急高知,高知県,高知,高知,stage-236,高知県立県民文化ホール オレンジホール,needs_review,https://www.jalan.net/yad322158/,ANAクラウンプラザホテル高知by IHG,0.3636,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%82%B6%20%E3%82%AF%E3%83%A9%E3%82%A6%E3%83%B3%E3%83%91%E3%83%AC%E3%82%B9%E6%96%B0%E9%98%AA%E6%80%A5%E9%AB%98%E7%9F%A5%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
