research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre
19,stage-007-1,リッチモンドホテル東京水道橋,東京都,水道橋・後楽園,水道橋・後楽園,stage-007,7,IMM THEATER,1,stage
20,stage-007-2,ホテルウィングインターナショナル後楽園,東京都,水道橋・後楽園,水道橋・後楽園,stage-007,7,IMM THEATER,2,stage
21,stage-007-3,the b 水道橋,東京都,水道橋・後楽園,水道橋・春日,stage-007,7,IMM THEATER,3,stage
22,stage-008-1,ホテルサンライト新宿,東京都,新宿・西武新宿,新宿三丁目,stage-008,8,THEATER MILANO-Za,1,stage
23,stage-008-2,新宿アーバンホテル,東京都,新宿・西武新宿,新宿三丁目・東新宿,stage-008,8,THEATER MILANO-Za,2,stage
24,stage-008-3,ホテルアマネク新宿歌舞伎町,東京都,新宿・西武新宿,新宿・西武新宿,stage-008,8,THEATER MILANO-Za,3,stage
25,stage-009-1,ホテル ヴィラフォンテーヌ グランド 東京有明,東京都,有明・国際展示場,有明・国際展示場,stage-009,9,東京ガーデンシアター,1,stage
26,stage-009-2,相鉄グランドフレッサ 東京ベイ有明,東京都,有明・国際展示場,国際展示場・東京ビッグサイト,stage-009,9,東京ガーデンシアター,2,stage
27,stage-009-3,ファーイーストビレッジホテル東京有明,東京都,有明・国際展示場,有明テニスの森,stage-009,9,東京ガーデンシアター,3,stage
28,stage-010-1,レム日比谷,東京都,日比谷・有楽町,有楽町・日比谷,stage-010,10,日生劇場,1,stage
29,stage-010-2,銀座ベルビューホテル,東京都,日比谷・有楽町,有楽町・銀座,stage-010,10,日生劇場,2,stage
30,stage-010-3,ダイワロイネットホテル新橋,東京都,日比谷・有楽町,新橋,stage-010,10,日生劇場,3,stage
31,stage-011-1,東横INN日本橋浜町明治座前,東京都,浜町・人形町,浜町,stage-011,11,明治座,1,stage
32,stage-011-2,アパホテル〈人形町駅北〉,東京都,浜町・人形町,人形町,stage-011,11,明治座,2,stage
33,stage-011-3,コンフォートホテル東京東日本橋,東京都,浜町・人形町,馬喰町・東日本橋,stage-011,11,明治座,3,stage
34,stage-012-1,相鉄フレッサイン 銀座三丁目,東京都,東銀座・新橋,銀座・東銀座,stage-012,12,新橋演舞場,1,stage
35,stage-012-2,ホテルモントレ銀座,東京都,東銀座・新橋,銀座一丁目,stage-012,12,新橋演舞場,2,stage
36,stage-012-3,ダイワロイネットホテル東京京橋 PREMIER,東京都,東銀座・新橋,京橋・東京,stage-012,12,新橋演舞場,3,stage
37,stage-013-1,レム日比谷,東京都,日比谷・有楽町,有楽町・日比谷,stage-013,13,シアタークリエ,1,stage
38,stage-013-2,銀座ベルビューホテル,東京都,日比谷・有楽町,有楽町・銀座,stage-013,13,シアタークリエ,2,stage
39,stage-013-3,ダイワロイネットホテル新橋,東京都,日比谷・有楽町,新橋,stage-013,13,シアタークリエ,3,stage
40,stage-014-1,品川プリンスホテル イーストタワー,東京都,品川,品川,stage-014,14,品川プリンスホテル ステラボール,1,stage
41,stage-014-2,京急EXホテル高輪,東京都,品川,品川・高輪台,stage-014,14,品川プリンスホテル ステラボール,2,stage
42,stage-014-3,アパホテル〈品川 泉岳寺駅前〉,東京都,品川,泉岳寺・高輪ゲートウェイ,stage-014,14,品川プリンスホテル ステラボール,3,stage
43,stage-015-1,品川プリンスホテル イーストタワー,東京都,品川,品川,stage-015,15,Club eX,1,stage
44,stage-015-2,京急EXホテル高輪,東京都,品川,品川・高輪台,stage-015,15,Club eX,2,stage
45,stage-015-3,アパホテル〈品川 泉岳寺駅前〉,東京都,品川,泉岳寺・高輪ゲートウェイ,stage-015,15,Club eX,3,stage
46,stage-016-1,レム六本木,東京都,六本木,六本木,stage-016,16,EX THEATER ROPPONGI,1,stage
47,stage-016-2,相鉄フレッサイン 東京六本木,東京都,六本木,六本木,stage-016,16,EX THEATER ROPPONGI,2,stage
48,stage-016-3,コンフォートイン東京六本木,東京都,六本木,六本木,stage-016,16,EX THEATER ROPPONGI,3,stage
49,stage-017-1,レム日比谷,東京都,有楽町・日比谷,有楽町・日比谷,stage-017,17,ヒューリックホール東京,1,stage
50,stage-017-2,銀座ベルビューホテル,東京都,有楽町・日比谷,有楽町・銀座,stage-017,17,ヒューリックホール東京,2,stage
51,stage-017-3,ダイワロイネットホテル新橋,東京都,有楽町・日比谷,新橋,stage-017,17,ヒューリックホール東京,3,stage
52,stage-018-1,ホテルヴィラフォンテーヌ東京大手町,東京都,大手町,大手町・神田,stage-018,18,よみうり大手町ホール,1,stage
53,stage-018-2,相鉄フレッサイン 神田大手町,東京都,大手町,神田・大手町,stage-018,18,よみうり大手町ホール,2,stage
54,stage-018-3,グランドセントラルホテル,東京都,大手町,神田,stage-018,18,よみうり大手町ホール,3,stage
55,stage-019-1,レム日比谷,東京都,有楽町,有楽町・日比谷,stage-019,19,有楽町よみうりホール,1,stage
56,stage-019-2,銀座ベルビューホテル,東京都,有楽町,有楽町・銀座,stage-019,19,有楽町よみうりホール,2,stage
57,stage-019-3,ダイワロイネットホテル新橋,東京都,有楽町,新橋,stage-019,19,有楽町よみうりホール,3,stage
58,stage-020-1,レム日比谷,東京都,有楽町・銀座,有楽町・日比谷,stage-020,20,有楽町朝日ホール,1,stage
59,stage-020-2,銀座ベルビューホテル,東京都,有楽町・銀座,有楽町・銀座,stage-020,20,有楽町朝日ホール,2,stage
60,stage-020-3,ダイワロイネットホテル新橋,東京都,有楽町・銀座,新橋,stage-020,20,有楽町朝日ホール,3,stage
61,stage-021-1,レム日比谷,東京都,有楽町,有楽町・日比谷,stage-021,21,I’M A SHOW,1,stage
62,stage-021-2,銀座ベルビューホテル,東京都,有楽町,有楽町・銀座,stage-021,21,I’M A SHOW,2,stage
63,stage-021-3,ダイワロイネットホテル新橋,東京都,有楽町,新橋,stage-021,21,I’M A SHOW,3,stage
64,stage-022-1,相鉄フレッサイン 銀座三丁目,東京都,有楽町・東京,銀座・東銀座,stage-022,22,東京国際フォーラム ホールC,1,stage
65,stage-022-2,ホテルモントレ銀座,東京都,有楽町・東京,銀座一丁目,stage-022,22,東京国際フォーラム ホールC,2,stage
66,stage-022-3,ダイワロイネットホテル東京京橋 PREMIER,東京都,有楽町・東京,京橋・東京,stage-022,22,東京国際フォーラム ホールC,3,stage
67,stage-023-1,the b 三軒茶屋,東京都,三軒茶屋,三軒茶屋,stage-023,23,昭和女子大学 人見記念講堂,1,stage
68,stage-023-2,東急ステイ用賀,東京都,三軒茶屋,用賀,stage-023,23,昭和女子大学 人見記念講堂,2,stage
69,stage-023-3,東急ステイ渋谷,東京都,三軒茶屋,神泉・渋谷,stage-023,23,昭和女子大学 人見記念講堂,3,stage
70,stage-024-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-024,24,PARCO劇場,1,stage
71,stage-024-2,渋谷東武ホテル,東京都,渋谷,渋谷,stage-024,24,PARCO劇場,2,stage
72,stage-024-3,渋谷クレストンホテル,東京都,渋谷,渋谷・神泉,stage-024,24,PARCO劇場,3,stage
73,stage-025-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-025,25,東急シアターオーブ,1,stage
74,stage-025-2,渋谷東武ホテル,東京都,渋谷,渋谷,stage-025,25,東急シアターオーブ,2,stage
75,stage-025-3,渋谷クレストンホテル,東京都,渋谷,渋谷・神泉,stage-025,25,東急シアターオーブ,3,stage
76,stage-026-1,ART HOTELS SHIBUYA,東京都,初台,初台・幡ヶ谷,stage-026,26,新国立劇場 中劇場,1,stage
77,stage-026-2,THE KNOT TOKYO Shinjuku,東京都,初台,都庁前・西新宿五丁目,stage-026,26,新国立劇場 中劇場,2,stage
78,stage-026-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,初台,西新宿五丁目,stage-026,26,新国立劇場 中劇場,3,stage
79,stage-027-1,ART HOTELS SHIBUYA,東京都,初台,初台・幡ヶ谷,stage-027,27,新国立劇場 小劇場,1,stage
80,stage-027-2,THE KNOT TOKYO Shinjuku,東京都,初台,都庁前・西新宿五丁目,stage-027,27,新国立劇場 小劇場,2,stage
81,stage-027-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,初台,西新宿五丁目,stage-027,27,新国立劇場 小劇場,3,stage
82,stage-028-1,ホテルサンシティ池袋,東京都,池袋西口,池袋西口,stage-028,28,東京芸術劇場 プレイハウス,1,stage
83,stage-028-2,ホテルアーバン,東京都,池袋西口,池袋西口,stage-028,28,東京芸術劇場 プレイハウス,2,stage
84,stage-028-3,スーパーホテルPremier池袋天然温泉,東京都,池袋西口,池袋西口・北口,stage-028,28,東京芸術劇場 プレイハウス,3,stage
85,stage-029-1,ホテルサンシティ池袋,東京都,池袋西口,池袋西口,stage-029,29,東京芸術劇場 シアターイースト,1,stage
86,stage-029-2,ホテルアーバン,東京都,池袋西口,池袋西口,stage-029,29,東京芸術劇場 シアターイースト,2,stage
87,stage-029-3,スーパーホテルPremier池袋天然温泉,東京都,池袋西口,池袋西口・北口,stage-029,29,東京芸術劇場 シアターイースト,3,stage
88,stage-030-1,ホテルサンシティ池袋,東京都,池袋西口,池袋西口,stage-030,30,東京芸術劇場 シアターウエスト,1,stage
89,stage-030-2,ホテルアーバン,東京都,池袋西口,池袋西口,stage-030,30,東京芸術劇場 シアターウエスト,2,stage
90,stage-030-3,スーパーホテルPremier池袋天然温泉,東京都,池袋西口,池袋西口・北口,stage-030,30,東京芸術劇場 シアターウエスト,3,stage
91,stage-031-1,the b 三軒茶屋,東京都,三軒茶屋,三軒茶屋,stage-031,31,世田谷パブリックシアター,1,stage
92,stage-031-2,東急ステイ用賀,東京都,三軒茶屋,用賀,stage-031,31,世田谷パブリックシアター,2,stage
93,stage-031-3,東急ステイ渋谷,東京都,三軒茶屋,神泉・渋谷,stage-031,31,世田谷パブリックシアター,3,stage
94,stage-032-1,the b 三軒茶屋,東京都,三軒茶屋,三軒茶屋,stage-032,32,シアタートラム,1,stage
95,stage-032-2,東急ステイ用賀,東京都,三軒茶屋,用賀,stage-032,32,シアタートラム,2,stage
96,stage-032-3,東急ステイ渋谷,東京都,三軒茶屋,神泉・渋谷,stage-032,32,シアタートラム,3,stage
97,stage-033-1,ホテルサンライト新宿,東京都,新宿三丁目,新宿三丁目,stage-033,33,紀伊國屋ホール,1,stage
98,stage-033-2,新宿アーバンホテル,東京都,新宿三丁目,新宿三丁目・東新宿,stage-033,33,紀伊國屋ホール,2,stage
99,stage-033-3,ホテルアマネク新宿歌舞伎町,東京都,新宿三丁目,新宿・西武新宿,stage-033,33,紀伊國屋ホール,3,stage
100,stage-034-1,ホテルサンルートプラザ新宿,東京都,新宿南口,新宿南口,stage-034,34,紀伊國屋サザンシアター TAKASHIMAYA,1,stage
101,stage-034-2,JR九州ホテル ブラッサム新宿,東京都,新宿南口,新宿南口,stage-034,34,紀伊國屋サザンシアター TAKASHIMAYA,2,stage
102,stage-034-3,京王プレッソイン新宿,東京都,新宿南口,新宿・都庁前,stage-034,34,紀伊國屋サザンシアター TAKASHIMAYA,3,stage
103,stage-035-1,ホテルサンルートプラザ新宿,東京都,新宿南口,新宿南口,stage-035,35,こくみん共済 coop ホール/スペース・ゼロ,1,stage
104,stage-035-2,JR九州ホテル ブラッサム新宿,東京都,新宿南口,新宿南口,stage-035,35,こくみん共済 coop ホール/スペース・ゼロ,2,stage
105,stage-035-3,京王プレッソイン新宿,東京都,新宿南口,新宿・都庁前,stage-035,35,こくみん共済 coop ホール/スペース・ゼロ,3,stage
106,stage-036-1,ホテルサンライト新宿,東京都,新宿御苑前,新宿三丁目,stage-036,36,シアターサンモール,1,stage
107,stage-036-2,新宿アーバンホテル,東京都,新宿御苑前,新宿三丁目・東新宿,stage-036,36,シアターサンモール,2,stage
108,stage-036-3,ホテルアマネク新宿歌舞伎町,東京都,新宿御苑前,新宿・西武新宿,stage-036,36,シアターサンモール,3,stage
109,stage-037-1,ホテルサンライト新宿,東京都,新宿三丁目,新宿三丁目,stage-037,37,新宿シアタートップス,1,stage
110,stage-037-2,新宿アーバンホテル,東京都,新宿三丁目,新宿三丁目・東新宿,stage-037,37,新宿シアタートップス,2,stage
111,stage-037-3,ホテルアマネク新宿歌舞伎町,東京都,新宿三丁目,新宿・西武新宿,stage-037,37,新宿シアタートップス,3,stage
112,stage-038-1,ホテルサンライト新宿,東京都,新宿・西武新宿,新宿三丁目,stage-038,38,新宿FACE,1,stage
113,stage-038-2,新宿アーバンホテル,東京都,新宿・西武新宿,新宿三丁目・東新宿,stage-038,38,新宿FACE,2,stage
114,stage-038-3,ホテルアマネク新宿歌舞伎町,東京都,新宿・西武新宿,新宿・西武新宿,stage-038,38,新宿FACE,3,stage
115,stage-039-1,ホテルアジア会館,東京都,赤坂,青山一丁目・乃木坂,stage-039,39,赤坂RED/THEATER,1,stage
116,stage-039-2,the b 赤坂,東京都,赤坂,赤坂,stage-039,39,赤坂RED/THEATER,2,stage
117,stage-039-3,ホテルモントレ赤坂,東京都,赤坂,赤坂見附・青山一丁目,stage-039,39,赤坂RED/THEATER,3,stage
118,stage-040-1,ホテルアジア会館,東京都,青山一丁目・赤坂見附,青山一丁目・乃木坂,stage-040,40,草月ホール,1,stage
119,stage-040-2,the b 赤坂,東京都,青山一丁目・赤坂見附,赤坂,stage-040,40,草月ホール,2,stage
120,stage-040-3,ホテルモントレ赤坂,東京都,青山一丁目・赤坂見附,赤坂見附・青山一丁目,stage-040,40,草月ホール,3,stage
121,stage-041-1,相鉄フレッサイン 銀座三丁目,東京都,新橋・銀座,銀座・東銀座,stage-041,41,博品館劇場,1,stage
122,stage-041-2,ホテルモントレ銀座,東京都,新橋・銀座,銀座一丁目,stage-041,41,博品館劇場,2,stage
123,stage-041-3,ダイワロイネットホテル東京京橋 PREMIER,東京都,新橋・銀座,京橋・東京,stage-041,41,博品館劇場,3,stage
124,stage-042-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-042,42,CBGKシブゲキ!!,1,stage
125,stage-042-2,渋谷東武ホテル,東京都,渋谷,渋谷,stage-042,42,CBGKシブゲキ!!,2,stage
126,stage-042-3,渋谷クレストンホテル,東京都,渋谷,渋谷・神泉,stage-042,42,CBGKシブゲキ!!,3,stage
127,stage-043-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-043,43,渋谷区文化総合センター大和田 さくらホール,1,stage
128,stage-043-2,渋谷東武ホテル,東京都,渋谷,渋谷,stage-043,43,渋谷区文化総合センター大和田 さくらホール,2,stage
129,stage-043-3,渋谷クレストンホテル,東京都,渋谷,渋谷・神泉,stage-043,43,渋谷区文化総合センター大和田 さくらホール,3,stage
130,stage-044-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-044,44,渋谷区文化総合センター大和田 伝承ホール,1,stage
131,stage-044-2,渋谷東武ホテル,東京都,渋谷,渋谷,stage-044,44,渋谷区文化総合センター大和田 伝承ホール,2,stage
132,stage-044-3,渋谷クレストンホテル,東京都,渋谷,渋谷・神泉,stage-044,44,渋谷区文化総合センター大和田 伝承ホール,3,stage
133,stage-045-1,アーバイン東京・上野 北千住,東京都,北千住,北千住,stage-045,45,シアター1010,1,stage
134,stage-045-2,ホテル ココ・グラン北千住,東京都,北千住,北千住,stage-045,45,シアター1010,2,stage
135,stage-045-3,ホテルリブマックス東京綾瀬駅前,東京都,北千住,綾瀬,stage-045,45,シアター1010,3,stage
136,stage-046-1,スマイルホテル東京綾瀬駅前,東京都,亀有,綾瀬,stage-046,46,かめありリリオホール,1,stage
137,stage-046-2,ホテルリブマックス東京綾瀬駅前,東京都,亀有,綾瀬,stage-046,46,かめありリリオホール,2,stage
138,stage-046-3,アーバイン東京・上野 北千住,東京都,亀有,北千住,stage-046,46,かめありリリオホール,3,stage
139,stage-047-1,くれたけイン東京船堀,東京都,船堀,船堀,stage-047,47,タワーホール船堀 大ホール,1,stage
140,stage-047-2,レンブラントスタイル東京西葛西,東京都,船堀,西葛西,stage-047,47,タワーホール船堀 大ホール,2,stage
141,stage-047-3,アパホテル〈TKP東京西葛西〉,東京都,船堀,西葛西,stage-047,47,タワーホール船堀 大ホール,3,stage
142,stage-048-1,スマイルホテル東京新小岩,東京都,新小岩,新小岩,stage-048,48,江戸川区総合文化センター 大ホール,1,stage
143,stage-048-2,スーパーホテル東京・JR新小岩,東京都,新小岩,新小岩,stage-048,48,江戸川区総合文化センター 大ホール,2,stage
144,stage-048-3,サイプレスイン東京,東京都,新小岩,新小岩,stage-048,48,江戸川区総合文化センター 大ホール,3,stage
145,stage-049-1,スマイルホテル東京新小岩,東京都,新小岩,新小岩,stage-049,49,江戸川区総合文化センター 小ホール,1,stage
146,stage-049-2,スーパーホテル東京・JR新小岩,東京都,新小岩,新小岩,stage-049,49,江戸川区総合文化センター 小ホール,2,stage
147,stage-049-3,サイプレスイン東京,東京都,新小岩,新小岩,stage-049,49,江戸川区総合文化センター 小ホール,3,stage
148,stage-050-1,フレックステイイン江古田,東京都,練馬,江古田・新江古田,stage-050,50,練馬文化センター 大ホール(こぶしホール),1,stage
149,stage-050-2,ホテルカデンツァ東京,東京都,練馬,光が丘,stage-050,50,練馬文化センター 大ホール(こぶしホール),2,stage
150,stage-050-3,和光市東武ホテル,東京都,練馬,和光市,stage-050,50,練馬文化センター 大ホール(こぶしホール),3,stage
151,stage-051-1,フレックステイイン江古田,東京都,練馬,江古田・新江古田,stage-051,51,練馬文化センター 小ホール(つつじホール),1,stage
152,stage-051-2,ホテルカデンツァ東京,東京都,練馬,光が丘,stage-051,51,練馬文化センター 小ホール(つつじホール),2,stage
153,stage-051-3,和光市東武ホテル,東京都,練馬,和光市,stage-051,51,練馬文化センター 小ホール(つつじホール),3,stage
154,stage-052-1,吉祥寺東急REIホテル,東京都,吉祥寺,吉祥寺,stage-052,52,吉祥寺シアター,1,stage
155,stage-052-2,吉祥寺エクセルホテル東急,東京都,吉祥寺,吉祥寺,stage-052,52,吉祥寺シアター,2,stage
156,stage-052-3,リッチモンドホテル東京武蔵野,東京都,吉祥寺,三鷹,stage-052,52,吉祥寺シアター,3,stage
157,stage-053-1,リッチモンドホテル東京武蔵野,東京都,三鷹,三鷹,stage-053,53,武蔵野芸能劇場 小劇場,1,stage
158,stage-053-2,三鷹シティホテル,東京都,三鷹,三鷹,stage-053,53,武蔵野芸能劇場 小劇場,2,stage
159,stage-053-3,JR東日本ホテルメッツ 武蔵境,東京都,三鷹,武蔵境,stage-053,53,武蔵野芸能劇場 小劇場,3,stage
160,stage-054-1,リッチモンドホテル東京武蔵野,東京都,三鷹,三鷹,stage-054,54,三鷹市芸術文化センター 星のホール,1,stage
161,stage-054-2,三鷹シティホテル,東京都,三鷹,三鷹,stage-054,54,三鷹市芸術文化センター 星のホール,2,stage
162,stage-054-3,JR東日本ホテルメッツ 武蔵境,東京都,三鷹,武蔵境,stage-054,54,三鷹市芸術文化センター 星のホール,3,stage
163,stage-055-1,JR東日本ホテルメッツ 高円寺,東京都,高円寺,高円寺,stage-055,55,座・高円寺1,1,stage
164,stage-055-2,ビジネスホテル クレセント,東京都,高円寺,中野,stage-055,55,座・高円寺1,2,stage
165,stage-055-3,ホテルルートイン東京阿佐ヶ谷,東京都,高円寺,南阿佐ヶ谷,stage-055,55,座・高円寺1,3,stage
166,stage-056-1,JR東日本ホテルメッツ 高円寺,東京都,高円寺,高円寺,stage-056,56,座・高円寺2,1,stage
167,stage-056-2,ビジネスホテル クレセント,東京都,高円寺,中野,stage-056,56,座・高円寺2,2,stage
168,stage-056-3,ホテルルートイン東京阿佐ヶ谷,東京都,高円寺,南阿佐ヶ谷,stage-056,56,座・高円寺2,3,stage
169,stage-057-1,ビジネスホテル クレセント,東京都,中野,中野,stage-057,57,ザ・ポケット,1,stage
170,stage-057-2,JR東日本ホテルメッツ 高円寺,東京都,中野,高円寺,stage-057,57,ザ・ポケット,2,stage
171,stage-057-3,ホテルルートイン東京阿佐ヶ谷,東京都,中野,南阿佐ヶ谷,stage-057,57,ザ・ポケット,3,stage
172,stage-058-1,ビジネスホテル クレセント,東京都,中野,中野,stage-058,58,劇場MOMO,1,stage
173,stage-058-2,JR東日本ホテルメッツ 高円寺,東京都,中野,高円寺,stage-058,58,劇場MOMO,2,stage
174,stage-058-3,ホテルルートイン東京阿佐ヶ谷,東京都,中野,南阿佐ヶ谷,stage-058,58,劇場MOMO,3,stage
175,stage-059-1,ビジネスホテル クレセント,東京都,中野,中野,stage-059,59,テアトルBONBON,1,stage
176,stage-059-2,JR東日本ホテルメッツ 高円寺,東京都,中野,高円寺,stage-059,59,テアトルBONBON,2,stage
177,stage-059-3,ホテルルートイン東京阿佐ヶ谷,東京都,中野,南阿佐ヶ谷,stage-059,59,テアトルBONBON,3,stage
178,stage-060-1,ビジネスホテル クレセント,東京都,中野,中野,stage-060,60,なかのZERO 大ホール,1,stage
179,stage-060-2,JR東日本ホテルメッツ 高円寺,東京都,中野,高円寺,stage-060,60,なかのZERO 大ホール,2,stage
180,stage-060-3,ホテルルートイン東京阿佐ヶ谷,東京都,中野,南阿佐ヶ谷,stage-060,60,なかのZERO 大ホール,3,stage
181,stage-061-1,ビジネスホテル クレセント,東京都,中野,中野,stage-061,61,なかのZERO 小ホール,1,stage
182,stage-061-2,JR東日本ホテルメッツ 高円寺,東京都,中野,高円寺,stage-061,61,なかのZERO 小ホール,2,stage
183,stage-061-3,ホテルルートイン東京阿佐ヶ谷,東京都,中野,南阿佐ヶ谷,stage-061,61,なかのZERO 小ホール,3,stage
184,stage-062-1,ホテルグランドシティ,東京都,東池袋,池袋東口,stage-062,62,あうるすぽっと,1,stage
185,stage-062-2,ホテルリソル池袋,東京都,東池袋,東池袋・池袋,stage-062,62,あうるすぽっと,2,stage
186,stage-062-3,京王プレッソイン池袋,東京都,東池袋,東池袋・池袋,stage-062,62,あうるすぽっと,3,stage
187,stage-063-1,TOKIO's HOTEL,東京都,王子,王子,stage-063,63,北とぴあ さくらホール,1,stage
188,stage-063-2,東横INN京浜東北線王子駅北口,東京都,王子,王子,stage-063,63,北とぴあ さくらホール,2,stage
189,stage-063-3,JR東日本ホテルメッツ 赤羽,東京都,王子,赤羽,stage-063,63,北とぴあ さくらホール,3,stage
190,stage-064-1,ホテルカデンツァ東京,東京都,光が丘,光が丘,stage-064,64,IMAホール,1,stage
191,stage-064-2,和光市東武ホテル,東京都,光が丘,和光市,stage-064,64,IMAホール,2,stage
192,stage-064-3,東横INN和光市駅前,東京都,光が丘,和光市,stage-064,64,IMAホール,3,stage
193,stage-065-1,東急ステイ目黒・祐天寺,東京都,都立大学,祐天寺,stage-065,65,めぐろパーシモンホール 大ホール,1,stage
194,stage-065-2,ホテルミッドイン目黒駅前,東京都,都立大学,目黒,stage-065,65,めぐろパーシモンホール 大ホール,2,stage
195,stage-065-3,ホテルアベスト目黒,東京都,都立大学,目黒,stage-065,65,めぐろパーシモンホール 大ホール,3,stage
196,stage-066-1,ホテルマイステイズ蒲田,東京都,蒲田,蒲田,stage-066,66,大田区民ホール・アプリコ 大ホール,1,stage
197,stage-066-2,ビジネスイン和,東京都,蒲田,蒲田,stage-066,66,大田区民ホール・アプリコ 大ホール,2,stage
198,stage-066-3,グランパークホテル パネックス東京,東京都,蒲田,蒲田,stage-066,66,大田区民ホール・アプリコ 大ホール,3,stage
199,stage-067-1,ホテル トレンド 浅草,東京都,浅草,浅草,stage-067,67,浅草公会堂,1,stage
200,stage-067-2,アパホテル〈浅草 田原町駅前〉,東京都,浅草,田原町・浅草,stage-067,67,浅草公会堂,2,stage
201,stage-067-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草,浅草・蔵前,stage-067,67,浅草公会堂,3,stage
202,stage-068-1,ホテル トレンド 浅草,東京都,浅草,浅草,stage-068,68,浅草花劇場,1,stage
203,stage-068-2,アパホテル〈浅草 田原町駅前〉,東京都,浅草,田原町・浅草,stage-068,68,浅草花劇場,2,stage
204,stage-068-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草,浅草・蔵前,stage-068,68,浅草花劇場,3,stage
205,stage-069-1,スーパーホテル品川・新馬場,東京都,新馬場・北品川,新馬場,stage-069,69,六行会ホール,1,stage
206,stage-069-2,東横INN品川港南口天王洲アイル,東京都,新馬場・北品川,天王洲アイル,stage-069,69,六行会ホール,2,stage
207,stage-069-3,アパホテル〈品川 泉岳寺駅前〉,東京都,新馬場・北品川,泉岳寺,stage-069,69,六行会ホール,3,stage
208,stage-070-1,ホテルグランドシティ,東京都,池袋東口,池袋東口,stage-070,70,Theater Mixa,1,stage
209,stage-070-2,ホテルリソル池袋,東京都,池袋東口,東池袋・池袋,stage-070,70,Theater Mixa,2,stage
210,stage-070-3,京王プレッソイン池袋,東京都,池袋東口,東池袋・池袋,stage-070,70,Theater Mixa,3,stage
211,stage-071-1,アパホテル〈上野駅前〉,東京都,上野・稲荷町,上野,stage-071,71,飛行船シアター,1,stage
212,stage-071-2,上野ホテル,東京都,上野・稲荷町,上野・入谷,stage-071,71,飛行船シアター,2,stage
213,stage-071-3,ベッセルイン上野入谷駅前,東京都,上野・稲荷町,入谷,stage-071,71,飛行船シアター,3,stage
214,stage-072-1,ホテルエミシア東京立川,東京都,立川,立川,stage-072,72,TACHIKAWA STAGE GARDEN,1,stage
