no,id,hotel_name,venue_name,venue_id,venue_number,rank,jalan_yad_no,jalan_url,url_source
39,stage-013-3,ダイワロイネットホテル新橋,シアタークリエ,stage-013,13,3,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
40,stage-014-1,品川プリンスホテル イーストタワー,品川プリンスホテル ステラボール,stage-014,14,1,,,missing
41,stage-014-2,京急EXホテル高輪,品川プリンスホテル ステラボール,stage-014,14,2,,,missing
42,stage-014-3,アパホテル〈品川 泉岳寺駅前〉,品川プリンスホテル ステラボール,stage-014,14,3,,,missing
43,stage-015-1,品川プリンスホテル イーストタワー,Club eX,stage-015,15,1,,,missing
44,stage-015-2,京急EXホテル高輪,Club eX,stage-015,15,2,,,missing
45,stage-015-3,アパホテル〈品川 泉岳寺駅前〉,Club eX,stage-015,15,3,,,missing
46,stage-016-1,レム六本木,EX THEATER ROPPONGI,stage-016,16,1,,,missing
47,stage-016-2,相鉄フレッサイン 東京六本木,EX THEATER ROPPONGI,stage-016,16,2,,,missing
48,stage-016-3,コンフォートイン東京六本木,EX THEATER ROPPONGI,stage-016,16,3,,,missing
49,stage-017-1,レム日比谷,ヒューリックホール東京,stage-017,17,1,,,missing
50,stage-017-2,銀座ベルビューホテル,ヒューリックホール東京,stage-017,17,2,,,missing
51,stage-017-3,ダイワロイネットホテル新橋,ヒューリックホール東京,stage-017,17,3,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
52,stage-018-1,ホテルヴィラフォンテーヌ東京大手町,よみうり大手町ホール,stage-018,18,1,,,missing
53,stage-018-2,相鉄フレッサイン 神田大手町,よみうり大手町ホール,stage-018,18,2,,,missing
54,stage-018-3,グランドセントラルホテル,よみうり大手町ホール,stage-018,18,3,,,missing
55,stage-019-1,レム日比谷,有楽町よみうりホール,stage-019,19,1,,,missing
56,stage-019-2,銀座ベルビューホテル,有楽町よみうりホール,stage-019,19,2,,,missing
57,stage-019-3,ダイワロイネットホテル新橋,有楽町よみうりホール,stage-019,19,3,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
58,stage-020-1,レム日比谷,有楽町朝日ホール,stage-020,20,1,,,missing
59,stage-020-2,銀座ベルビューホテル,有楽町朝日ホール,stage-020,20,2,,,missing
60,stage-020-3,ダイワロイネットホテル新橋,有楽町朝日ホール,stage-020,20,3,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
61,stage-021-1,レム日比谷,I’M A SHOW,stage-021,21,1,,,missing
62,stage-021-2,銀座ベルビューホテル,I’M A SHOW,stage-021,21,2,,,missing
63,stage-021-3,ダイワロイネットホテル新橋,I’M A SHOW,stage-021,21,3,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
64,stage-022-1,相鉄フレッサイン 銀座三丁目,東京国際フォーラム ホールC,stage-022,22,1,,,missing
65,stage-022-2,ホテルモントレ銀座,東京国際フォーラム ホールC,stage-022,22,2,,,missing
66,stage-022-3,ダイワロイネットホテル東京京橋 PREMIER,東京国際フォーラム ホールC,stage-022,22,3,,,missing
67,stage-023-1,the b 三軒茶屋,昭和女子大学 人見記念講堂,stage-023,23,1,,,missing
68,stage-023-2,東急ステイ用賀,昭和女子大学 人見記念講堂,stage-023,23,2,,,missing
69,stage-023-3,東急ステイ渋谷,昭和女子大学 人見記念講堂,stage-023,23,3,,,missing
70,stage-024-1,The OneFive Tokyo Shibuya,PARCO劇場,stage-024,24,1,,,missing
71,stage-024-2,渋谷東武ホテル,PARCO劇場,stage-024,24,2,,,missing
72,stage-024-3,渋谷クレストンホテル,PARCO劇場,stage-024,24,3,,,missing
73,stage-025-1,The OneFive Tokyo Shibuya,東急シアターオーブ,stage-025,25,1,,,missing
74,stage-025-2,渋谷東武ホテル,東急シアターオーブ,stage-025,25,2,,,missing
75,stage-025-3,渋谷クレストンホテル,東急シアターオーブ,stage-025,25,3,,,missing
76,stage-026-1,ART HOTELS SHIBUYA,新国立劇場 中劇場,stage-026,26,1,,,missing
77,stage-026-2,THE KNOT TOKYO Shinjuku,新国立劇場 中劇場,stage-026,26,2,,,missing
78,stage-026-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,新国立劇場 中劇場,stage-026,26,3,,,missing
79,stage-027-1,ART HOTELS SHIBUYA,新国立劇場 小劇場,stage-027,27,1,,,missing
80,stage-027-2,THE KNOT TOKYO Shinjuku,新国立劇場 小劇場,stage-027,27,2,,,missing
81,stage-027-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,新国立劇場 小劇場,stage-027,27,3,,,missing
82,stage-028-1,ホテルサンシティ池袋,東京芸術劇場 プレイハウス,stage-028,28,1,,,missing
83,stage-028-2,ホテルアーバン,東京芸術劇場 プレイハウス,stage-028,28,2,,,missing
84,stage-028-3,スーパーホテルPremier池袋天然温泉,東京芸術劇場 プレイハウス,stage-028,28,3,,,missing
85,stage-029-1,ホテルサンシティ池袋,東京芸術劇場 シアターイースト,stage-029,29,1,,,missing
86,stage-029-2,ホテルアーバン,東京芸術劇場 シアターイースト,stage-029,29,2,,,missing
87,stage-029-3,スーパーホテルPremier池袋天然温泉,東京芸術劇場 シアターイースト,stage-029,29,3,,,missing
88,stage-030-1,ホテルサンシティ池袋,東京芸術劇場 シアターウエスト,stage-030,30,1,,,missing
89,stage-030-2,ホテルアーバン,東京芸術劇場 シアターウエスト,stage-030,30,2,,,missing
90,stage-030-3,スーパーホテルPremier池袋天然温泉,東京芸術劇場 シアターウエスト,stage-030,30,3,,,missing
91,stage-031-1,the b 三軒茶屋,世田谷パブリックシアター,stage-031,31,1,,,missing
92,stage-031-2,東急ステイ用賀,世田谷パブリックシアター,stage-031,31,2,,,missing
93,stage-031-3,東急ステイ渋谷,世田谷パブリックシアター,stage-031,31,3,,,missing
94,stage-032-1,the b 三軒茶屋,シアタートラム,stage-032,32,1,,,missing
95,stage-032-2,東急ステイ用賀,シアタートラム,stage-032,32,2,,,missing
96,stage-032-3,東急ステイ渋谷,シアタートラム,stage-032,32,3,,,missing
97,stage-033-1,ホテルサンライト新宿,紀伊國屋ホール,stage-033,33,1,,,missing
98,stage-033-2,新宿アーバンホテル,紀伊國屋ホール,stage-033,33,2,,,missing
99,stage-033-3,ホテルアマネク新宿歌舞伎町,紀伊國屋ホール,stage-033,33,3,,,missing
100,stage-034-1,ホテルサンルートプラザ新宿,紀伊國屋サザンシアター TAKASHIMAYA,stage-034,34,1,,,missing
101,stage-034-2,JR九州ホテル ブラッサム新宿,紀伊國屋サザンシアター TAKASHIMAYA,stage-034,34,2,,,missing
102,stage-034-3,京王プレッソイン新宿,紀伊國屋サザンシアター TAKASHIMAYA,stage-034,34,3,,,missing
103,stage-035-1,ホテルサンルートプラザ新宿,こくみん共済 coop ホール/スペース・ゼロ,stage-035,35,1,,,missing
104,stage-035-2,JR九州ホテル ブラッサム新宿,こくみん共済 coop ホール/スペース・ゼロ,stage-035,35,2,,,missing
105,stage-035-3,京王プレッソイン新宿,こくみん共済 coop ホール/スペース・ゼロ,stage-035,35,3,,,missing
106,stage-036-1,ホテルサンライト新宿,シアターサンモール,stage-036,36,1,,,missing
107,stage-036-2,新宿アーバンホテル,シアターサンモール,stage-036,36,2,,,missing
108,stage-036-3,ホテルアマネク新宿歌舞伎町,シアターサンモール,stage-036,36,3,,,missing
109,stage-037-1,ホテルサンライト新宿,新宿シアタートップス,stage-037,37,1,,,missing
110,stage-037-2,新宿アーバンホテル,新宿シアタートップス,stage-037,37,2,,,missing
111,stage-037-3,ホテルアマネク新宿歌舞伎町,新宿シアタートップス,stage-037,37,3,,,missing
112,stage-038-1,ホテルサンライト新宿,新宿FACE,stage-038,38,1,,,missing
113,stage-038-2,新宿アーバンホテル,新宿FACE,stage-038,38,2,,,missing
114,stage-038-3,ホテルアマネク新宿歌舞伎町,新宿FACE,stage-038,38,3,,,missing
115,stage-039-1,ホテルアジア会館,赤坂RED/THEATER,stage-039,39,1,,,missing
116,stage-039-2,the b 赤坂,赤坂RED/THEATER,stage-039,39,2,,,missing
117,stage-039-3,ホテルモントレ赤坂,赤坂RED/THEATER,stage-039,39,3,,,missing
118,stage-040-1,ホテルアジア会館,草月ホール,stage-040,40,1,,,missing
119,stage-040-2,the b 赤坂,草月ホール,stage-040,40,2,,,missing
120,stage-040-3,ホテルモントレ赤坂,草月ホール,stage-040,40,3,,,missing
121,stage-041-1,相鉄フレッサイン 銀座三丁目,博品館劇場,stage-041,41,1,,,missing
122,stage-041-2,ホテルモントレ銀座,博品館劇場,stage-041,41,2,,,missing
123,stage-041-3,ダイワロイネットホテル東京京橋 PREMIER,博品館劇場,stage-041,41,3,,,missing
124,stage-042-1,The OneFive Tokyo Shibuya,CBGKシブゲキ!!,stage-042,42,1,,,missing
125,stage-042-2,渋谷東武ホテル,CBGKシブゲキ!!,stage-042,42,2,,,missing
126,stage-042-3,渋谷クレストンホテル,CBGKシブゲキ!!,stage-042,42,3,,,missing
127,stage-043-1,The OneFive Tokyo Shibuya,渋谷区文化総合センター大和田 さくらホール,stage-043,43,1,,,missing
128,stage-043-2,渋谷東武ホテル,渋谷区文化総合センター大和田 さくらホール,stage-043,43,2,,,missing
129,stage-043-3,渋谷クレストンホテル,渋谷区文化総合センター大和田 さくらホール,stage-043,43,3,,,missing
130,stage-044-1,The OneFive Tokyo Shibuya,渋谷区文化総合センター大和田 伝承ホール,stage-044,44,1,,,missing
131,stage-044-2,渋谷東武ホテル,渋谷区文化総合センター大和田 伝承ホール,stage-044,44,2,,,missing
132,stage-044-3,渋谷クレストンホテル,渋谷区文化総合センター大和田 伝承ホール,stage-044,44,3,,,missing
133,stage-045-1,アーバイン東京・上野 北千住,シアター1010,stage-045,45,1,,,missing
134,stage-045-2,ホテル ココ・グラン北千住,シアター1010,stage-045,45,2,,,missing
135,stage-045-3,ホテルリブマックス東京綾瀬駅前,シアター1010,stage-045,45,3,359437,https://www.jalan.net/yad359437/,generated_from_jalanYadNo
136,stage-046-1,スマイルホテル東京綾瀬駅前,かめありリリオホール,stage-046,46,1,,,missing
137,stage-046-2,ホテルリブマックス東京綾瀬駅前,かめありリリオホール,stage-046,46,2,359437,https://www.jalan.net/yad359437/,generated_from_jalanYadNo
138,stage-046-3,アーバイン東京・上野 北千住,かめありリリオホール,stage-046,46,3,,,missing
139,stage-047-1,くれたけイン東京船堀,タワーホール船堀 大ホール,stage-047,47,1,,,missing
140,stage-047-2,レンブラントスタイル東京西葛西,タワーホール船堀 大ホール,stage-047,47,2,,,missing
141,stage-047-3,アパホテル〈TKP東京西葛西〉,タワーホール船堀 大ホール,stage-047,47,3,,,missing
142,stage-048-1,スマイルホテル東京新小岩,江戸川区総合文化センター 大ホール,stage-048,48,1,,,missing
143,stage-048-2,スーパーホテル東京・JR新小岩,江戸川区総合文化センター 大ホール,stage-048,48,2,,,missing
144,stage-048-3,サイプレスイン東京,江戸川区総合文化センター 大ホール,stage-048,48,3,,,missing
145,stage-049-1,スマイルホテル東京新小岩,江戸川区総合文化センター 小ホール,stage-049,49,1,,,missing
146,stage-049-2,スーパーホテル東京・JR新小岩,江戸川区総合文化センター 小ホール,stage-049,49,2,,,missing
147,stage-049-3,サイプレスイン東京,江戸川区総合文化センター 小ホール,stage-049,49,3,,,missing
148,stage-050-1,フレックステイイン江古田,練馬文化センター 大ホール(こぶしホール),stage-050,50,1,,,missing
149,stage-050-2,ホテルカデンツァ東京,練馬文化センター 大ホール(こぶしホール),stage-050,50,2,,,missing
150,stage-050-3,和光市東武ホテル,練馬文化センター 大ホール(こぶしホール),stage-050,50,3,,,missing
151,stage-051-1,フレックステイイン江古田,練馬文化センター 小ホール(つつじホール),stage-051,51,1,,,missing
152,stage-051-2,ホテルカデンツァ東京,練馬文化センター 小ホール(つつじホール),stage-051,51,2,,,missing
153,stage-051-3,和光市東武ホテル,練馬文化センター 小ホール(つつじホール),stage-051,51,3,,,missing
154,stage-052-1,吉祥寺東急REIホテル,吉祥寺シアター,stage-052,52,1,,,missing
155,stage-052-2,吉祥寺エクセルホテル東急,吉祥寺シアター,stage-052,52,2,,,missing
156,stage-052-3,リッチモンドホテル東京武蔵野,吉祥寺シアター,stage-052,52,3,,,missing
157,stage-053-1,リッチモンドホテル東京武蔵野,武蔵野芸能劇場 小劇場,stage-053,53,1,,,missing
158,stage-053-2,三鷹シティホテル,武蔵野芸能劇場 小劇場,stage-053,53,2,,,missing
159,stage-053-3,JR東日本ホテルメッツ 武蔵境,武蔵野芸能劇場 小劇場,stage-053,53,3,,,missing
160,stage-054-1,リッチモンドホテル東京武蔵野,三鷹市芸術文化センター 星のホール,stage-054,54,1,,,missing
161,stage-054-2,三鷹シティホテル,三鷹市芸術文化センター 星のホール,stage-054,54,2,,,missing
162,stage-054-3,JR東日本ホテルメッツ 武蔵境,三鷹市芸術文化センター 星のホール,stage-054,54,3,,,missing
163,stage-055-1,JR東日本ホテルメッツ 高円寺,座・高円寺1,stage-055,55,1,,,missing
164,stage-055-2,ビジネスホテル クレセント,座・高円寺1,stage-055,55,2,,,missing
165,stage-055-3,ホテルルートイン東京阿佐ヶ谷,座・高円寺1,stage-055,55,3,,,missing
166,stage-056-1,JR東日本ホテルメッツ 高円寺,座・高円寺2,stage-056,56,1,,,missing
167,stage-056-2,ビジネスホテル クレセント,座・高円寺2,stage-056,56,2,,,missing
168,stage-056-3,ホテルルートイン東京阿佐ヶ谷,座・高円寺2,stage-056,56,3,,,missing
169,stage-057-1,ビジネスホテル クレセント,ザ・ポケット,stage-057,57,1,,,missing
170,stage-057-2,JR東日本ホテルメッツ 高円寺,ザ・ポケット,stage-057,57,2,,,missing
171,stage-057-3,ホテルルートイン東京阿佐ヶ谷,ザ・ポケット,stage-057,57,3,,,missing
172,stage-058-1,ビジネスホテル クレセント,劇場MOMO,stage-058,58,1,,,missing
173,stage-058-2,JR東日本ホテルメッツ 高円寺,劇場MOMO,stage-058,58,2,,,missing
174,stage-058-3,ホテルルートイン東京阿佐ヶ谷,劇場MOMO,stage-058,58,3,,,missing
175,stage-059-1,ビジネスホテル クレセント,テアトルBONBON,stage-059,59,1,,,missing
176,stage-059-2,JR東日本ホテルメッツ 高円寺,テアトルBONBON,stage-059,59,2,,,missing
177,stage-059-3,ホテルルートイン東京阿佐ヶ谷,テアトルBONBON,stage-059,59,3,,,missing
178,stage-060-1,ビジネスホテル クレセント,なかのZERO 大ホール,stage-060,60,1,,,missing
179,stage-060-2,JR東日本ホテルメッツ 高円寺,なかのZERO 大ホール,stage-060,60,2,,,missing
180,stage-060-3,ホテルルートイン東京阿佐ヶ谷,なかのZERO 大ホール,stage-060,60,3,,,missing
181,stage-061-1,ビジネスホテル クレセント,なかのZERO 小ホール,stage-061,61,1,,,missing
182,stage-061-2,JR東日本ホテルメッツ 高円寺,なかのZERO 小ホール,stage-061,61,2,,,missing
183,stage-061-3,ホテルルートイン東京阿佐ヶ谷,なかのZERO 小ホール,stage-061,61,3,,,missing
184,stage-062-1,ホテルグランドシティ,あうるすぽっと,stage-062,62,1,,,missing
185,stage-062-2,ホテルリソル池袋,あうるすぽっと,stage-062,62,2,,,missing
186,stage-062-3,京王プレッソイン池袋,あうるすぽっと,stage-062,62,3,,,missing
187,stage-063-1,TOKIO's HOTEL,北とぴあ さくらホール,stage-063,63,1,,,missing
188,stage-063-2,東横INN京浜東北線王子駅北口,北とぴあ さくらホール,stage-063,63,2,,,missing
189,stage-063-3,JR東日本ホテルメッツ 赤羽,北とぴあ さくらホール,stage-063,63,3,,,missing
190,stage-064-1,ホテルカデンツァ東京,IMAホール,stage-064,64,1,,,missing
191,stage-064-2,和光市東武ホテル,IMAホール,stage-064,64,2,,,missing
192,stage-064-3,東横INN和光市駅前,IMAホール,stage-064,64,3,,,missing
193,stage-065-1,東急ステイ目黒・祐天寺,めぐろパーシモンホール 大ホール,stage-065,65,1,,,missing
194,stage-065-2,ホテルミッドイン目黒駅前,めぐろパーシモンホール 大ホール,stage-065,65,2,,,missing
195,stage-065-3,ホテルアベスト目黒,めぐろパーシモンホール 大ホール,stage-065,65,3,,,missing
196,stage-066-1,ホテルマイステイズ蒲田,大田区民ホール・アプリコ 大ホール,stage-066,66,1,,,missing
197,stage-066-2,ビジネスイン和,大田区民ホール・アプリコ 大ホール,stage-066,66,2,,,missing
198,stage-066-3,グランパークホテル パネックス東京,大田区民ホール・アプリコ 大ホール,stage-066,66,3,,,missing
199,stage-067-1,ホテル トレンド 浅草,浅草公会堂,stage-067,67,1,,,missing
200,stage-067-2,アパホテル〈浅草 田原町駅前〉,浅草公会堂,stage-067,67,2,347008,https://www.jalan.net/yad347008/,generated_from_jalanYadNo
201,stage-067-3,ホテルウィングインターナショナルセレクト浅草駒形,浅草公会堂,stage-067,67,3,,,missing
202,stage-068-1,ホテル トレンド 浅草,浅草花劇場,stage-068,68,1,,,missing
203,stage-068-2,アパホテル〈浅草 田原町駅前〉,浅草花劇場,stage-068,68,2,347008,https://www.jalan.net/yad347008/,generated_from_jalanYadNo
204,stage-068-3,ホテルウィングインターナショナルセレクト浅草駒形,浅草花劇場,stage-068,68,3,,,missing
205,stage-069-1,スーパーホテル品川・新馬場,六行会ホール,stage-069,69,1,,,missing
206,stage-069-2,東横INN品川港南口天王洲アイル,六行会ホール,stage-069,69,2,390736,https://www.jalan.net/yad390736/,generated_from_jalanYadNo
207,stage-069-3,アパホテル〈品川 泉岳寺駅前〉,六行会ホール,stage-069,69,3,,,missing
208,stage-070-1,ホテルグランドシティ,Theater Mixa,stage-070,70,1,,,missing
209,stage-070-2,ホテルリソル池袋,Theater Mixa,stage-070,70,2,,,missing
210,stage-070-3,京王プレッソイン池袋,Theater Mixa,stage-070,70,3,,,missing
211,stage-071-1,アパホテル〈上野駅前〉,飛行船シアター,stage-071,71,1,,,missing
212,stage-071-2,上野ホテル,飛行船シアター,stage-071,71,2,,,missing
213,stage-071-3,ベッセルイン上野入谷駅前,飛行船シアター,stage-071,71,3,,,missing
214,stage-072-1,ホテルエミシア東京立川,TACHIKAWA STAGE GARDEN,stage-072,72,1,,,missing
215,stage-072-2,立川リージェントホテル,TACHIKAWA STAGE GARDEN,stage-072,72,2,,,missing
216,stage-072-3,ホテルマイステイズ立川,TACHIKAWA STAGE GARDEN,stage-072,72,3,,,missing
217,stage-073-1,京急EXイン 羽田イノベーションシティ,Zepp Haneda (TOKYO),stage-073,73,1,,,missing
218,stage-073-2,ホテルメトロポリタン 羽田,Zepp Haneda (TOKYO),stage-073,73,2,308818,https://www.jalan.net/yad308818/,generated_from_jalanYadNo
219,stage-073-3,京急EXイン 羽田,Zepp Haneda (TOKYO),stage-073,73,3,,,missing
220,stage-074-1,東横INN鶯谷駅前,東京キネマ倶楽部,stage-074,74,1,,,missing
221,stage-074-2,ホテルセレッソ,東京キネマ倶楽部,stage-074,74,2,,,missing
222,stage-074-3,ベッセルイン上野入谷駅前,東京キネマ倶楽部,stage-074,74,3,,,missing
223,stage-075-1,ホテルJALシティ関内 横浜,KAAT 神奈川芸術劇場 ホール,stage-075,75,1,,,missing
224,stage-075-2,コンフォートホテル横浜関内,KAAT 神奈川芸術劇場 ホール,stage-075,75,2,,,missing
225,stage-075-3,ダイワロイネットホテル横浜公園,KAAT 神奈川芸術劇場 ホール,stage-075,75,3,,,missing
226,stage-076-1,ホテルJALシティ関内 横浜,KAAT 神奈川芸術劇場 大スタジオ,stage-076,76,1,,,missing
227,stage-076-2,コンフォートホテル横浜関内,KAAT 神奈川芸術劇場 大スタジオ,stage-076,76,2,,,missing
228,stage-076-3,ダイワロイネットホテル横浜公園,KAAT 神奈川芸術劇場 大スタジオ,stage-076,76,3,,,missing
229,stage-077-1,横浜桜木町ワシントンホテル,ぴあアリーナMM,stage-077,77,1,,,missing
230,stage-077-2,ニューオータニイン横浜プレミアム,ぴあアリーナMM,stage-077,77,2,,,missing
231,stage-077-3,相鉄フレッサイン 横浜桜木町,ぴあアリーナMM,stage-077,77,3,,,missing
232,stage-078-1,横浜桜木町ワシントンホテル,パシフィコ横浜 国立大ホール,stage-078,78,1,,,missing
233,stage-078-2,ニューオータニイン横浜プレミアム,パシフィコ横浜 国立大ホール,stage-078,78,2,,,missing
234,stage-078-3,相鉄フレッサイン 横浜桜木町,パシフィコ横浜 国立大ホール,stage-078,78,3,,,missing
235,stage-079-1,横浜桜木町ワシントンホテル,KT Zepp Yokohama,stage-079,79,1,,,missing
236,stage-079-2,ニューオータニイン横浜プレミアム,KT Zepp Yokohama,stage-079,79,2,,,missing
237,stage-079-3,相鉄フレッサイン 横浜桜木町,KT Zepp Yokohama,stage-079,79,3,,,missing
238,stage-080-1,ホテルJALシティ関内 横浜,横浜BUNTAI,stage-080,80,1,,,missing
239,stage-080-2,コンフォートホテル横浜関内,横浜BUNTAI,stage-080,80,2,,,missing
240,stage-080-3,ダイワロイネットホテル横浜公園,横浜BUNTAI,stage-080,80,3,,,missing
241,stage-081-1,ホテルJALシティ関内 横浜,関内ホール 大ホール,stage-081,81,1,,,missing
242,stage-081-2,コンフォートホテル横浜関内,関内ホール 大ホール,stage-081,81,2,,,missing
243,stage-081-3,ダイワロイネットホテル横浜公園,関内ホール 大ホール,stage-081,81,3,,,missing
244,stage-082-1,ホテルJALシティ関内 横浜,関内ホール 小ホール,stage-082,82,1,,,missing
245,stage-082-2,コンフォートホテル横浜関内,関内ホール 小ホール,stage-082,82,2,,,missing
246,stage-082-3,ダイワロイネットホテル横浜公園,関内ホール 小ホール,stage-082,82,3,,,missing
247,stage-083-1,横浜桜木町ワシントンホテル,横浜赤レンガ倉庫1号館 3Fホール,stage-083,83,1,,,missing
248,stage-083-2,ニューオータニイン横浜プレミアム,横浜赤レンガ倉庫1号館 3Fホール,stage-083,83,2,,,missing
249,stage-083-3,相鉄フレッサイン 横浜桜木町,横浜赤レンガ倉庫1号館 3Fホール,stage-083,83,3,,,missing
250,stage-084-1,横浜桜木町ワシントンホテル,横浜ランドマークホール,stage-084,84,1,,,missing
251,stage-084-2,ニューオータニイン横浜プレミアム,横浜ランドマークホール,stage-084,84,2,,,missing
252,stage-084-3,相鉄フレッサイン 横浜桜木町,横浜ランドマークホール,stage-084,84,3,,,missing
253,stage-085-1,メルキュール横須賀,横須賀芸術劇場,stage-085,85,1,,,missing
254,stage-085-2,ホテルニューヨコスカ,横須賀芸術劇場,stage-085,85,2,,,missing
255,stage-085-3,セントラルホテル横須賀,横須賀芸術劇場,stage-085,85,3,,,missing
256,stage-086-1,メルキュール横須賀,ヨコスカ・ベイサイド・ポケット,stage-086,86,1,,,missing
257,stage-086-2,ホテルニューヨコスカ,ヨコスカ・ベイサイド・ポケット,stage-086,86,2,,,missing
258,stage-086-3,セントラルホテル横須賀,ヨコスカ・ベイサイド・ポケット,stage-086,86,3,,,missing
259,stage-087-1,川崎日航ホテル,カルッツかわさき ホール,stage-087,87,1,,,missing
260,stage-087-2,JR東日本ホテルメッツ 川崎,カルッツかわさき ホール,stage-087,87,2,,,missing
261,stage-087-3,相鉄フレッサイン 川崎駅東口,カルッツかわさき ホール,stage-087,87,3,,,missing
262,stage-088-1,川崎日航ホテル,CLUB CITTA',stage-088,88,1,,,missing
263,stage-088-2,JR東日本ホテルメッツ 川崎,CLUB CITTA',stage-088,88,2,,,missing
264,stage-088-3,相鉄フレッサイン 川崎駅東口,CLUB CITTA',stage-088,88,3,,,missing
265,stage-089-1,ホテルモリノ新百合丘,川崎市アートセンター アルテリオ小劇場,stage-089,89,1,,,missing
266,stage-089-2,ホテルリソル町田,川崎市アートセンター アルテリオ小劇場,stage-089,89,2,,,missing
267,stage-089-3,レンブラントホテル東京町田,川崎市アートセンター アルテリオ小劇場,stage-089,89,3,,,missing
268,stage-090-1,小田急ホテルセンチュリー相模大野,相模女子大学グリーンホール 大ホール,stage-090,90,1,,,missing
269,stage-090-2,ホテルクラウンヒルズ相模原,相模女子大学グリーンホール 大ホール,stage-090,90,2,,,missing
