no,id,hotel_name,venue_name,venue_id,venue_number,rank,rakuten_hotel_no,rakuten_url,rakuten_url_source,jalan_yad_no,jalan_url,jalan_url_source
159,stage-053-3,JR東日本ホテルメッツ 武蔵境,武蔵野芸能劇場 小劇場,stage-053,53,3,,,missing,,,missing
160,stage-054-1,リッチモンドホテル東京武蔵野,三鷹市芸術文化センター 星のホール,stage-054,54,1,,,missing,,,missing
161,stage-054-2,三鷹シティホテル,三鷹市芸術文化センター 星のホール,stage-054,54,2,,,missing,,,missing
162,stage-054-3,JR東日本ホテルメッツ 武蔵境,三鷹市芸術文化センター 星のホール,stage-054,54,3,,,missing,,,missing
163,stage-055-1,JR東日本ホテルメッツ 高円寺,座・高円寺1,stage-055,55,1,,,missing,,,missing
164,stage-055-2,ビジネスホテル クレセント,座・高円寺1,stage-055,55,2,,,missing,,,missing
165,stage-055-3,ホテルルートイン東京阿佐ヶ谷,座・高円寺1,stage-055,55,3,,,missing,,,missing
166,stage-056-1,JR東日本ホテルメッツ 高円寺,座・高円寺2,stage-056,56,1,,,missing,,,missing
167,stage-056-2,ビジネスホテル クレセント,座・高円寺2,stage-056,56,2,,,missing,,,missing
168,stage-056-3,ホテルルートイン東京阿佐ヶ谷,座・高円寺2,stage-056,56,3,,,missing,,,missing
169,stage-057-1,ビジネスホテル クレセント,ザ・ポケット,stage-057,57,1,,,missing,,,missing
170,stage-057-2,JR東日本ホテルメッツ 高円寺,ザ・ポケット,stage-057,57,2,,,missing,,,missing
171,stage-057-3,ホテルルートイン東京阿佐ヶ谷,ザ・ポケット,stage-057,57,3,,,missing,,,missing
172,stage-058-1,ビジネスホテル クレセント,劇場MOMO,stage-058,58,1,,,missing,,,missing
173,stage-058-2,JR東日本ホテルメッツ 高円寺,劇場MOMO,stage-058,58,2,,,missing,,,missing
174,stage-058-3,ホテルルートイン東京阿佐ヶ谷,劇場MOMO,stage-058,58,3,,,missing,,,missing
175,stage-059-1,ビジネスホテル クレセント,テアトルBONBON,stage-059,59,1,,,missing,,,missing
176,stage-059-2,JR東日本ホテルメッツ 高円寺,テアトルBONBON,stage-059,59,2,,,missing,,,missing
177,stage-059-3,ホテルルートイン東京阿佐ヶ谷,テアトルBONBON,stage-059,59,3,,,missing,,,missing
178,stage-060-1,ビジネスホテル クレセント,なかのZERO 大ホール,stage-060,60,1,,,missing,,,missing
179,stage-060-2,JR東日本ホテルメッツ 高円寺,なかのZERO 大ホール,stage-060,60,2,,,missing,,,missing
180,stage-060-3,ホテルルートイン東京阿佐ヶ谷,なかのZERO 大ホール,stage-060,60,3,,,missing,,,missing
181,stage-061-1,ビジネスホテル クレセント,なかのZERO 小ホール,stage-061,61,1,,,missing,,,missing
182,stage-061-2,JR東日本ホテルメッツ 高円寺,なかのZERO 小ホール,stage-061,61,2,,,missing,,,missing
183,stage-061-3,ホテルルートイン東京阿佐ヶ谷,なかのZERO 小ホール,stage-061,61,3,,,missing,,,missing
184,stage-062-1,ホテルグランドシティ,あうるすぽっと,stage-062,62,1,,,missing,,,missing
185,stage-062-2,ホテルリソル池袋,あうるすぽっと,stage-062,62,2,,,missing,,,missing
186,stage-062-3,京王プレッソイン池袋,あうるすぽっと,stage-062,62,3,,,missing,,,missing
187,stage-063-1,TOKIO's HOTEL,北とぴあ さくらホール,stage-063,63,1,,,missing,,,missing
188,stage-063-2,東横INN京浜東北線王子駅北口,北とぴあ さくらホール,stage-063,63,2,,,missing,,,missing
189,stage-063-3,JR東日本ホテルメッツ 赤羽,北とぴあ さくらホール,stage-063,63,3,,,missing,,,missing
190,stage-064-1,ホテルカデンツァ東京,IMAホール,stage-064,64,1,,,missing,,,missing
191,stage-064-2,和光市東武ホテル,IMAホール,stage-064,64,2,,,missing,,,missing
192,stage-064-3,東横INN和光市駅前,IMAホール,stage-064,64,3,,,missing,,,missing
193,stage-065-1,東急ステイ目黒・祐天寺,めぐろパーシモンホール 大ホール,stage-065,65,1,,,missing,,,missing
194,stage-065-2,ホテルミッドイン目黒駅前,めぐろパーシモンホール 大ホール,stage-065,65,2,,,missing,,,missing
195,stage-065-3,ホテルアベスト目黒,めぐろパーシモンホール 大ホール,stage-065,65,3,,,missing,,,missing
196,stage-066-1,ホテルマイステイズ蒲田,大田区民ホール・アプリコ 大ホール,stage-066,66,1,,,missing,,,missing
197,stage-066-2,ビジネスイン和,大田区民ホール・アプリコ 大ホール,stage-066,66,2,,,missing,,,missing
198,stage-066-3,グランパークホテル パネックス東京,大田区民ホール・アプリコ 大ホール,stage-066,66,3,,,missing,,,missing
199,stage-067-1,ホテル トレンド 浅草,浅草公会堂,stage-067,67,1,,,missing,,,missing
200,stage-067-2,アパホテル〈浅草 田原町駅前〉,浅草公会堂,stage-067,67,2,162808,https://travel.rakuten.co.jp/HOTEL/162808/162808.html,generated_from_rakutenHotelNo,347008,https://www.jalan.net/yad347008/,generated_from_jalanYadNo
201,stage-067-3,ホテルウィングインターナショナルセレクト浅草駒形,浅草公会堂,stage-067,67,3,,,missing,,,missing
202,stage-068-1,ホテル トレンド 浅草,浅草花劇場,stage-068,68,1,,,missing,,,missing
203,stage-068-2,アパホテル〈浅草 田原町駅前〉,浅草花劇場,stage-068,68,2,162808,https://travel.rakuten.co.jp/HOTEL/162808/162808.html,generated_from_rakutenHotelNo,347008,https://www.jalan.net/yad347008/,generated_from_jalanYadNo
204,stage-068-3,ホテルウィングインターナショナルセレクト浅草駒形,浅草花劇場,stage-068,68,3,,,missing,,,missing
205,stage-069-1,スーパーホテル品川・新馬場,六行会ホール,stage-069,69,1,,,missing,,,missing
206,stage-069-2,東横INN品川港南口天王洲アイル,六行会ホール,stage-069,69,2,136278,https://travel.rakuten.co.jp/HOTEL/136278/136278.html,generated_from_rakutenHotelNo,390736,https://www.jalan.net/yad390736/,generated_from_jalanYadNo
207,stage-069-3,アパホテル〈品川 泉岳寺駅前〉,六行会ホール,stage-069,69,3,,,missing,,,missing
208,stage-070-1,ホテルグランドシティ,Theater Mixa,stage-070,70,1,,,missing,,,missing
209,stage-070-2,ホテルリソル池袋,Theater Mixa,stage-070,70,2,,,missing,,,missing
210,stage-070-3,京王プレッソイン池袋,Theater Mixa,stage-070,70,3,,,missing,,,missing
211,stage-071-1,アパホテル〈上野駅前〉,飛行船シアター,stage-071,71,1,,,missing,,,missing
212,stage-071-2,上野ホテル,飛行船シアター,stage-071,71,2,,,missing,,,missing
213,stage-071-3,ベッセルイン上野入谷駅前,飛行船シアター,stage-071,71,3,,,missing,,,missing
214,stage-072-1,ホテルエミシア東京立川,TACHIKAWA STAGE GARDEN,stage-072,72,1,,,missing,,,missing
215,stage-072-2,立川リージェントホテル,TACHIKAWA STAGE GARDEN,stage-072,72,2,,,missing,,,missing
216,stage-072-3,ホテルマイステイズ立川,TACHIKAWA STAGE GARDEN,stage-072,72,3,,,missing,,,missing
217,stage-073-1,京急EXイン 羽田イノベーションシティ,Zepp Haneda (TOKYO),stage-073,73,1,,,missing,,,missing
218,stage-073-2,ホテルメトロポリタン 羽田,Zepp Haneda (TOKYO),stage-073,73,2,187424,https://travel.rakuten.co.jp/HOTEL/187424/187424.html,generated_from_rakutenHotelNo,308818,https://www.jalan.net/yad308818/,generated_from_jalanYadNo
219,stage-073-3,京急EXイン 羽田,Zepp Haneda (TOKYO),stage-073,73,3,,,missing,,,missing
220,stage-074-1,東横INN鶯谷駅前,東京キネマ倶楽部,stage-074,74,1,,,missing,,,missing
221,stage-074-2,ホテルセレッソ,東京キネマ倶楽部,stage-074,74,2,,,missing,,,missing
222,stage-074-3,ベッセルイン上野入谷駅前,東京キネマ倶楽部,stage-074,74,3,,,missing,,,missing
223,stage-075-1,ホテルJALシティ関内 横浜,KAAT 神奈川芸術劇場 ホール,stage-075,75,1,,,missing,,,missing
224,stage-075-2,コンフォートホテル横浜関内,KAAT 神奈川芸術劇場 ホール,stage-075,75,2,,,missing,,,missing
225,stage-075-3,ダイワロイネットホテル横浜公園,KAAT 神奈川芸術劇場 ホール,stage-075,75,3,,,missing,,,missing
226,stage-076-1,ホテルJALシティ関内 横浜,KAAT 神奈川芸術劇場 大スタジオ,stage-076,76,1,,,missing,,,missing
227,stage-076-2,コンフォートホテル横浜関内,KAAT 神奈川芸術劇場 大スタジオ,stage-076,76,2,,,missing,,,missing
228,stage-076-3,ダイワロイネットホテル横浜公園,KAAT 神奈川芸術劇場 大スタジオ,stage-076,76,3,,,missing,,,missing
229,stage-077-1,横浜桜木町ワシントンホテル,ぴあアリーナMM,stage-077,77,1,,,missing,,,missing
230,stage-077-2,ニューオータニイン横浜プレミアム,ぴあアリーナMM,stage-077,77,2,,,missing,,,missing
231,stage-077-3,相鉄フレッサイン 横浜桜木町,ぴあアリーナMM,stage-077,77,3,,,missing,,,missing
232,stage-078-1,横浜桜木町ワシントンホテル,パシフィコ横浜 国立大ホール,stage-078,78,1,,,missing,,,missing
233,stage-078-2,ニューオータニイン横浜プレミアム,パシフィコ横浜 国立大ホール,stage-078,78,2,,,missing,,,missing
234,stage-078-3,相鉄フレッサイン 横浜桜木町,パシフィコ横浜 国立大ホール,stage-078,78,3,,,missing,,,missing
